1,1,1,22.5021
1,1,2,21.9585
1,1,3,22.2251
1,1,4,22.6678
1,1,5,22.4312
1,1,6,22.6029
1,1,7,22.5369
1,1,8,22.5441
1,1,9,22.5239
1,1,10,22.4375
1,2,1,22.6034
1,2,2,10.6397
1,2,3,10.4603
1,2,4,11.8987
1,2,5,15.1226
1,2,6,13.6821
1,2,7,13.2909
1,2,8,13.053
1,2,9,13.1573
1,2,10,12.8707
1,3,1,22.3142
1,3,2,11.0191
1,3,3,3.9928
1,3,4,3.638
1,3,5,5.0989
1,3,6,4.5402
1,3,7,4.1599
1,3,8,5.3524
1,3,9,3.6564
1,3,10,4.7512
1,4,1,22.1417
1,4,2,10.3179
1,4,3,3.3221
1,4,4,3.2327
1,4,5,4.6453
1,4,6,3.2597
1,4,7,3.4121
1,4,8,3.1442
1,4,9,4.5553
1,4,10,4.1808
1,5,1,23.2
1,5,2,10.9736
1,5,3,4.1443
1,5,4,4.4066
1,5,5,2.3602
1,5,6,7.5239
1,5,7,4.0225
1,5,8,4.7797
1,5,9,3.7263
1,5,10,3.2587
1,6,1,23.5443
1,6,2,10.366
1,6,3,4.0345
1,6,4,3.6057
1,6,5,4.1633
1,6,6,3.5253
1,6,7,3.7924
1,6,8,2.2872
1,6,9,4.9093
1,6,10,4.3405
1,7,1,22.4205
1,7,2,10.8083
1,7,3,4.3382
1,7,4,3.4335
1,7,5,3.0034
1,7,6,4.498
1,7,7,4.8894
1,7,8,2.7299
1,7,9,3.6738
1,7,10,4.5133
1,8,1,22.6582
1,8,2,10.0248
1,8,3,4.8562
1,8,4,5.4236
1,8,5,2.9256
1,8,6,17.2072
1,8,7,4.0744
1,8,8,4.9137
1,8,9,2.9961
1,8,10,4.2306
1,9,1,23.8478
1,9,2,11.0862
1,9,3,5.8009
1,9,4,7.1239
1,9,5,2.7151
1,9,6,13.2709
1,9,7,6.2177
1,9,8,8.9074
1,9,9,4.7984
1,9,10,3.2939
1,10,1,23.1043
1,10,2,11.1437
1,10,3,2.9607
1,10,4,6.3033
1,10,5,3.28
1,10,6,6.6812
1,10,7,4.468
1,10,8,13.9833
1,10,9,4.0035
1,10,10,3.6581
2,1,1,5.3486
2,1,2,4.6314
2,1,3,4.605
2,1,4,4.5928
2,1,5,4.8398
2,1,6,4.5489
2,1,7,4.4634
2,1,8,5.2964
2,1,9,5.3084
2,1,10,4.6781
2,2,1,5.37
2,2,2,2.2745
2,2,3,2.4064
2,2,4,2.3565
2,2,5,2.3278
2,2,6,2.7239
2,2,7,2.2879
2,2,8,2.2544
2,2,9,2.1848
2,2,10,2.3042
2,3,1,5.6256
2,3,2,2.3687
2,3,3,0.59234
2,3,4,0.54971
2,3,5,0.59574
2,3,6,0.68925
