S8_w,S8_x,S8_y,S8_z,S9_w,S9_x,S9_y,S9_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.1834,-0.0194,0.9375,0.2949,0.3342,-0.0102,0.8083,0.4844,-0.7047,0.0491,0.6248,0.3324,0.0432,0.0643,0.9795,0.1856,0.64648122,0.162210187,-0.729598014,-0.153090249,37.99669461,49.705458,40.49972422
0.1848,-0.0337,0.9355,0.2991,0.3328,-0.0155,0.8061,0.489,-0.7001,0.0534,0.6267,0.3376,0.0429,0.0653,0.9801,0.1822,0.650071664,0.166371564,-0.725500843,-0.152891663,38.6963675,49.01594761,40.44366173
0.1856,-0.0326,0.9351,0.2999,0.3336,-0.0145,0.8064,0.4879,-0.7009,0.0522,0.6262,0.3372,0.0428,0.0652,0.98,0.1826,0.648769909,0.168209186,-0.726267238,-0.152771639,38.67696626,49.17893474,40.69991347
0.1878,-0.0269,0.9345,0.301,0.3352,-0.0138,0.8068,0.4862,-0.7011,0.0499,0.6278,0.3342,0.0449,0.0648,0.98,0.1824,0.648040938,0.165355109,-0.727915791,-0.151126539,37.13539006,49.54040729,40.20971632
0.1999,-0.0173,0.9302,0.307,0.348,-0.0076,0.805,0.4803,-0.7111,0.0318,0.6289,0.3124,0.0467,0.061,0.9797,0.1848,0.646231932,0.1551926,-0.732095207,-0.14945285,34.26146209,50.83656662,40.53339017
0.2059,-0.0046,0.9291,0.3068,0.358,-0.0004,0.8057,0.4718,-0.7122,0.0037,0.6379,0.2927,0.0522,0.0542,0.9787,0.1905,0.645885759,0.12720267,-0.743118092,-0.120110651,30.86047038,50.44605228,40.73133353
0.2071,0.005,0.9295,0.3048,0.363,0.007,0.8076,0.4645,-0.7188,-0.0017,0.6331,0.2871,0.0516,0.0534,0.9786,0.1916,0.637442589,0.121369977,-0.75181731,-0.11707693,29.97467874,52.55329812,41.81815776
0.2014,0.0368,0.9334,0.2947,0.3667,0.0318,0.8217,0.4349,-0.7263,-0.0446,0.6386,0.2499,0.0478,0.0523,0.978,0.1956,0.62907717,0.103471672,-0.764026493,-0.099091099,27.2444577,53.53310314,42.27589003
0.1907,0.0541,0.9372,0.2866,0.3394,0.0415,0.847,0.4069,-0.7257,-0.0592,0.6439,0.2348,0.0462,0.0517,0.9777,0.1976,0.639466631,0.067558041,-0.763241917,-0.063088163,21.08293071,53.63300958,41.82635783
0.1801,0.0936,0.9441,0.2596,0.2835,0.078,0.9008,0.3193,-0.7405,-0.0911,0.6294,0.217,0.0369,0.0482,0.9767,0.2055,0.627777403,0.058062226,-0.774552966,-0.050911814,21.31343295,56.02412142,44.10992812
0.1781,0.1052,0.9446,0.2546,0.2749,0.0883,0.9089,0.3006,-0.7401,-0.0947,0.6299,0.2152,0.0344,0.0483,0.9766,0.2064,0.629649347,0.047671773,-0.774519836,-0.037257554,20.69171658,56.38910942,45.03853023
