15.5,68.5,-9.3125
14.5625,60.3125,1.3125
13.8125,48.5,7.5625
11.0625,35.9375,12.5
11.3125,24.75,12.1875
12.6875,15.5625,12.75
15.4375,7.125,12.125
13.625,1.4375,13.25
11.6875,-0.5,14.3125
8.1875,-6.6875,15.0625
7.75,-9.4375,15.25
4.8125,-8.375,15.9375
2.8125,-6,15.5
0.5,-1.8125,15
1.3125,5.6875,13.75
0.0625,13.625,16.5
359,24.4375,22
3.4375,34.5,23.625
6.0625,44.3125,25.4375
4.875,50,32.125
4.875,54.5625,45.6875
4.6875,55.6875,61.5
7.25,57.6875,65.625
14.6875,63,55.625
21.4375,67.0625,42.5
25.25,67.125,26.875
27.5,62.25,15.1875
27.3125,55.4375,10.5625
26.125,45.875,7.3125
23.3125,38.4375,9.625
14.6875,27.4375,17.1875
13.0625,18.9375,16.5625
17.8125,12.5,12.1875
19.1875,6.625,10.4375
17.75,3.0625,9.6875
14.625,1.8125,8.5625
8.5,2.75,9.125
7,7.1875,6.75
6.1875,13.1875,5.375
4,19.4375,5.75
2.625,24.625,6.0625
4.4375,28.5625,4.1875
8.5625,30.75,-1.4375
9.1875,34.9375,-2.4375
10.3125,39.125,-3.9375
10,45.75,-2.3125
8.875,50,3.4375
8.5625,50.6875,5.0625
8.1875,50.25,5.9375
8.9375,48.5,5.375
9.0625,42.5625,6.5
8.1875,37.1875,10
7.25,32.6875,12.1875
6.625,25.5,13.1875
358.5625,19.8125,20.5625
355.4375,17.125,22.8125
7.8125,17.0625,16.5
7.25,17.25,16.4375
3.0625,20.0625,19.125
4.8125,25.0625,18.125
6.5,31.25,18.1875
9.6875,38.75,21.3125
13.5,49.625,24.875
12.6875,55.5625,32.375
14.3125,62.875,37.125
13.8125,68,46.0625
12.5,74.6875,62.1875
9.1875,74,78.5
9.4375,75.125,88.5
11.0625,77.0625,94.25
12.8125,79,94.5625
16.75,81.0625,64
19.4375,75.5625,27.125
20.625,68.75,17.125
22.1875,60.4375,13.4375
24.4375,53.25,10.1875
27.0625,46.5625,8.3125
24.6875,36.5,12.8125
20.25,25.125,17
22.875,17.75,15.375
26.0625,9.8125,14.9375
25.4375,5.375,13.5
24.3125,5.125,13.0625
23.625,6.5625,13.6875
23.5625,6.8125,12.8125
22.6875,6.0625,12.5
22.1875,5.25,12.6875
19.9375,4.5,13.8125
12.9375,4.1875,16.5
8.25,3.0625,16.8125
346.75,-1.125,18.875
260.5625,-19.5625,17.4375
242,-22.125,13.8125
225.9375,-23.5,9.8125
212.75,-23.8125,5.5
202.5,-23.375,2.0625
192.125,-21.5625,0
179.625,-18.3125,-4.8125
168.25,-14.0625,-8.25
160.8125,-9.8125,-9.5625
163.4375,-12.5,-8.25
172.75,-15.4375,-5.5625
181.25,-17.25,-2.6875
195,-19.6875,0.8125
208,-21.125,3.5625
219.5625,-22.5,6.5625
236.875,-23.625,11.125
261.875,-22.375,17.6875
280.1875,-19.375,21.5
300.875,-14.5,23.3125
317.6875,-10.375,24.1875
335.75,-5.375,24.25
348.25,-1.0625,20.1875
2.125,1.9375,17.375
10.25,4.1875,14.5
16.4375,5.3125,10.625
11.0625,5.8125,12.4375
355.25,3.6875,19.4375
334.5,-3.125,27.8125
311.75,-12.5,27.25
281,-19.0625,23.375
254.6875,-19.875,16.0625
231.875,-17.3125,9.375
213.4375,-14.375,4.0625
193.625,-10.6875,-1.75
180.3125,-6.625,-5.6875
167.8125,-1.75,-7.9375
154.25,2.6875,-8.125
142.8125,8.0625,-7.1875
135.75,10.6875,-6.8125
135.3125,9.75,-6.5625
147.5625,1.1875,-5.375
169.375,-7.8125,-0.3125
189.6875,-11.0625,5.4375
224.875,-12.75,10.125
276.125,-10.9375,13.625
305.875,-9.5,14.25
329.4375,-8.625,15.1875
349.875,-10.375,16
