S8_w,S8_x,S8_y,S8_z,S6_w,S6_x,S6_y,S6_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
-0.0625,-0.0161,0.8728,0.4837,-0.0877,0.3242,0.8958,0.2908,-0.1785,0.1766,0.966,0.0603,-0.0491,0.1174,0.9251,0.3577,0.944810053,-0.302070507,-0.061615473,-0.110864357,6.261335389,-21.59597759,-1.802787071
-0.059,-0.0181,0.874,0.4819,-0.0941,0.3311,0.8864,0.3091,-0.1793,0.1983,0.9578,0.1054,-0.0491,0.1176,0.9251,0.3576,0.944810053,-0.302070507,-0.061615473,-0.110864357,6.261335389,-21.59597759,-1.802787071
-0.059,-0.0181,0.874,0.4819,-0.0941,0.3311,0.8864,0.3091,-0.1793,0.1983,0.9578,0.1054,-0.0491,0.1176,0.9251,0.3576,0.95592824,-0.256367026,-0.060328737,-0.129759745,21.54657641,-19.95539789,-5.716467262
-0.0571,-0.0186,0.875,0.4802,-0.0958,0.3359,0.8814,0.3177,-0.1663,0.2225,0.9487,0.1505,-0.0499,0.1184,0.9249,0.3577,0.956063873,-0.256472599,-0.059591994,-0.128889371,21.54657641,-19.95539789,-5.716467262
-0.0526,-0.019,0.8771,0.4768,-0.0983,0.3393,0.8726,0.3371,-0.1534,0.2392,0.9409,0.1838,-0.0505,0.1192,0.9249,0.3574,0.972305953,-0.17250767,-0.030786829,-0.154642841,32.72465045,-20.074796,-8.783975476
-0.0504,-0.0206,0.8785,0.4745,-0.0996,0.3395,0.8681,0.348,-0.1468,0.2574,0.9292,0.2204,-0.0498,0.1202,0.9256,0.3552,0.976787219,-0.130901031,-0.024672155,-0.167758555,32.72465045,-20.074796,-8.783975476
-0.0457,-0.0239,0.8811,0.4699,-0.0965,0.3428,0.8605,0.364,-0.1364,0.268,0.9237,0.2369,-0.0501,0.1198,0.9263,0.3536,0.976787219,-0.130901031,-0.024672155,-0.167758555,32.72465045,-20.074796,-8.783975476
-0.0457,-0.0239,0.8811,0.4699,-0.0965,0.3428,0.8605,0.364,-0.1364,0.268,0.9237,0.2369,-0.0501,0.1198,0.9263,0.3536,0.978478473,-0.110110344,-0.01368783,-0.173977678,40.19472775,-20.37399418,-11.48280073
-0.0423,-0.026,0.8828,0.4671,-0.0968,0.3436,0.8558,0.3742,-0.1247,0.2812,0.9138,0.2648,-0.0485,0.1191,0.9274,0.351,0.980146724,-0.076397824,-0.004164831,-0.182916445,40.19472775,-20.37399418,-11.48280073
-0.0399,-0.0278,0.8834,0.4658,-0.0952,0.3449,0.8525,0.3809,-0.1208,0.2855,0.911,0.2718,-0.047,0.1187,0.9279,0.3502,0.98014795,-0.067754987,-0.001554007,-0.186324563,44.03949087,-20.2224659,-12.67186537
-0.038,-0.0284,0.8841,0.4647,-0.0932,0.3456,0.8488,0.389,-0.1158,0.2894,0.9079,0.2799,-0.0463,0.1185,0.9277,0.3508,0.980018162,-0.068533869,-0.00194198,-0.186718343,44.03949087,-20.2224659,-12.67186537
-0.0347,-0.0284,0.8848,0.4636,-0.0902,0.3468,0.8436,0.3997,-0.1102,0.2956,0.9005,0.2989,-0.0445,0.1196,0.9276,0.351,0.980018162,-0.068533869,-0.00194198,-0.186718343,44.03949087,-20.2224659,-12.67186537
-0.0347,-0.0284,0.8848,0.4636,-0.0902,0.3468,0.8436,0.3997,-0.1102,0.2956,0.9005,0.2989,-0.0445,0.1196,0.9276,0.351,0.980626365,-0.038847562,0.005858792,-0.191907462,47.86115109,-20.00920846,-13.42095321
-0.0327,-0.0281,0.8851,0.4632,-0.0885,0.3483,0.8414,0.4032,-0.1041,0.2999,0.8963,0.3094,-0.0429,0.1203,0.9271,0.3521,0.980597202,-0.040540474,0.004589115,-0.191740811,47.86115109,-20.00920846,-13.42095321
-0.0327,-0.0279,0.885,0.4635,-0.0899,0.3485,0.8431,0.3993,-0.1053,0.3005,0.896,0.3092,-0.0413,0.1209,0.9271,0.3523,0.980409173,-0.029325102,0.007865979,-0.19461762,47.88983468,-19.81140518,-13.48884896
-0.0341,-0.0282,0.885,0.4634,-0.0914,0.3483,0.8454,0.3943,-0.1083,0.2985,0.8983,0.3035,-0.0418,0.1202,0.927,0.3526,0.980273589,-0.035941161,0.005926018,-0.194259634,47.88983468,-19.81140518,-13.48884896
-0.0361,-0.0283,0.8847,0.4637,-0.0941,0.3482,0.8505,0.3828,-0.1137,0.2943,0.9029,0.2917,-0.0424,0.1196,0.9275,0.3514,0.980273589,-0.035941161,0.005926018,-0.194259634,47.88983468,-19.81140518,-13.48884896
-0.0361,-0.0283,0.8847,0.4637,-0.0941,0.3482,0.8505,0.3828,-0.1137,0.2943,0.9029,0.2917,-0.0424,0.1196,0.9275,0.3514,0.980249764,-0.034467365,0.006234823,-0.194636915,44.44584238,-19.76890125,-12.9078417
-0.0386,-0.0283,0.8836,0.4655,-0.0977,0.3471,0.8572,0.3674,-0.121,0.2898,0.9086,0.2751,-0.0436,0.1184,0.9277,0.351,0.979248752,-0.06541231,-0.003489466,-0.191783563,44.44584238,-19.76890125,-12.9078417
-0.0452,-0.0284,0.8811,0.4698,-0.1019,0.3442,0.8701,0.3375,-0.1362,0.2736,0.9235,0.2315,-0.0473,0.1156,0.9279,0.3511,0.976401357,-0.112251033,-0.013400732,-0.184012272,33.89492775,-20.38941593,-10.68580161
-0.0495,-0.0285,0.8802,0.471,-0.1034,0.3419,0.8776,0.3194,-0.145,0.2586,0.9342,0.198,-0.0501,0.1135,0.9281,0.351,0.973244151,-0.14765714,-0.019477472,-0.174968053,33.89492775,-20.38941593,-10.68580161
-0.0536,-0.0288,0.8807,0.4695,-0.1007,0.3412,0.8841,0.3027,-0.1534,0.2426,0.9448,0.1575,-0.0517,0.1123,0.9288,0.3491,0.973244151,-0.14765714,-0.019477472,-0.174968053,33.89492775,-20.38941593,-10.68580161
-0.0536,-0.0288,0.8807,0.4695,-0.1007,0.3412,0.8841,0.3027,-0.1534,0.2426,0.9448,0.1575,-0.0517,0.1123,0.9288,0.3491,0.96785083,-0.188259704,-0.026631824,-0.16466269,25.4226029,-21.00653691,-8.908242213
-0.0558,-0.0288,0.8809,0.4689,-0.1007,0.3385,0.8886,0.2927,-0.1596,0.2357,0.9481,0.1412,-0.0516,0.1115,0.9302,0.3457,0.965380229,-0.202074183,-0.033804782,-0.16144434,25.4226029,-21.00653691,-8.908242213
-0.0604,-0.0284,0.8795,0.4711,-0.1039,0.3312,0.8984,0.2686,-0.1735,0.2149,0.9559,0.0985,-0.0534,0.1091,0.9307,0.3447,0.95655571,-0.245338536,-0.047113341,-0.150301394,14.21433114,-20.97827496,-6.214237127
-0.0632,-0.0285,0.8786,0.4724,-0.1073,0.3261,0.9033,0.2569,-0.1787,0.1975,0.962,0.0592,-0.0545,0.1075,0.9312,0.3439,0.947230953,-0.284177443,-0.05242502,-0.138738313,14.21433114,-20.97827496,-6.214237127
-0.0651,-0.0278,0.8788,0.4718,-0.1094,0.322,0.9056,0.2531,-0.1831,0.1799,0.9661,0.0225,-0.0544,0.1068,0.9314,0.3435,0.947230953,-0.284177443,-0.05242502,-0.138738313,14.21433114,-20.97827496,-6.214237127
-0.0651,-0.0278,0.8788,0.4718,-0.1094,0.322,0.9056,0.2531,-0.1831,0.1799,0.9661,0.0225,-0.0544,0.1068,0.9314,0.3435,0.936911469,-0.320730091,-0.05860231,-0.126074885,6.233138119,-21.014757,-4.355379256
-0.066,-0.0267,0.8791,0.4712,-0.1116,0.3145,0.9082,0.2525,-0.1895,0.173,0.9664,0.0066,-0.0527,0.1071,0.9321,0.3417,0.937311954,-0.319343324,-0.060705252,-0.125622506,6.233138119,-21.014757,-4.355379256
-0.0678,-0.0247,0.8786,0.4721,-0.1132,0.3097,0.9091,0.2543,-0.1959,0.1613,0.9669,-0.024,-0.0525,0.1072,0.9323,0.3411,0.93749015,-0.318819143,-0.061046468,-0.125458764,-0.499535395,-20.49356358,-3.228892908
-0.0686,-0.0231,0.878,0.473,-0.1141,0.2979,0.9118,0.2584,-0.2022,0.1524,0.9663,-0.0449,-0.0516,0.1077,0.9321,0.3416,0.912368405,-0.385924808,-0.081729289,-0.109390394,-0.499535395,-20.49356358,-3.228892908
-0.0696,-0.0222,0.8778,0.4732,-0.116,0.2882,0.9154,0.2557,-0.2172,0.1381,0.9632,-0.0763,-0.0493,0.1081,0.9323,0.3416,0.897647635,-0.41687351,-0.099596106,-0.102595396,-0.499535395,-20.49356358,-3.228892908
-0.0698,-0.0214,0.8781,0.4729,-0.116,0.2822,0.9174,0.2552,-0.2263,0.1315,0.9608,-0.0908,-0.0476,0.1082,0.9325,0.3411,0.897647635,-0.41687351,-0.099596106,-0.102595396,-6.935372864,-18.49935429,-2.149437816
-0.0698,-0.0214,0.8781,0.4729,-0.116,0.2822,0.9174,0.2552,-0.2263,0.1315,0.9608,-0.0908,-0.0476,0.1082,0.9325,0.3411,0.897573021,-0.41668687,-0.101344218,-0.10229406,-6.935372864,-18.49935429,-2.149437816
-0.0695,-0.0214,0.8785,0.4721,-0.113,0.277,0.9188,0.2571,-0.2352,0.1235,0.958,-0.1078,-0.043,0.1085,0.9329,0.3403,0.880686417,-0.446853353,-0.124520413,-0.095959278,-11.80776006,-16.48930469,-1.286150375
