S8_w,S8_x,S8_y,S8_z,S6_w,S6_x,S6_y,S6_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.0815,-0.0617,0.8733,0.4761,0.0405,0.298,0.905,0.3005,-0.0689,0.2292,0.9661,-0.0955,0.1345,0.105,0.9177,0.3585,0.867342942,-0.47215295,-0.100996494,-0.120778805,0.085565156,-36.99176245,-9.585096552
0.0827,-0.0647,0.8733,0.4755,0.0437,0.2973,0.9052,0.3002,-0.0591,0.2353,0.9668,-0.0792,0.1317,0.1043,0.919,0.3566,0.877100528,-0.454748452,-0.089481686,-0.126061639,2.624567109,-37.44146855,-10.6920024
0.0866,-0.0715,0.8718,0.4766,0.0507,0.306,0.902,0.3,-0.0256,0.2451,0.9688,-0.0217,0.1286,0.1022,0.9192,0.3577,0.876934067,-0.454994098,-0.086407348,-0.128455371,9.860573977,-39.19534371,-12.43502199
0.09,-0.0741,0.8736,0.4724,0.0583,0.3181,0.892,0.3154,0,0.2622,0.9637,0.0494,0.1263,0.101,0.9205,0.3555,0.917973445,-0.369090069,-0.043691189,-0.138522038,20.64672608,-40.20397741,-15.07062505
0.0953,-0.0748,0.8735,0.4712,0.064,0.3188,0.8793,0.3478,0.0164,0.2795,0.9506,0.1336,0.1235,0.1022,0.9208,0.3554,0.918583013,-0.368295192,-0.041019187,-0.13740934,32.60213993,-39.05595354,-17.84300301
0.0985,-0.0765,0.8745,0.4685,0.0632,0.3142,0.8737,0.3659,0.033,0.2846,0.9395,0.1871,0.1223,0.1029,0.9215,0.3538,0.965442564,-0.191428246,-0.003053017,-0.176823532,40.62855891,-38.46555522,-18.87767192
0.0998,-0.0766,0.876,0.4655,0.0578,0.3115,0.8682,0.3818,0.0461,0.2935,0.9274,0.2267,0.1193,0.1039,0.923,0.3505,0.966151006,-0.188319314,-0.002055318,-0.176306113,46.0851039,-38.25283864,-20.30332966
0.1087,-0.079,0.8775,0.4603,0.0548,0.3081,0.8578,0.4075,0.0548,0.3049,0.9109,0.2723,0.1226,0.1029,0.9224,0.3513,0.971128608,-0.147957745,0.008604311,-0.186932338,52.55264182,-36.64920963,-21.60255714
0.1137,-0.0832,0.8799,0.4536,0.0529,0.3065,0.8487,0.4276,0.0656,0.3167,0.8954,0.3059,0.1213,0.1013,0.9249,0.3455,0.974027126,-0.05821284,0.030498116,-0.216684765,58.18902411,-35.47174411,-23.28756515
0.1112,-0.0857,0.8753,0.4626,0.0493,0.3209,0.8612,0.3907,0.0377,0.3134,0.9187,0.2372,0.1248,0.0962,0.924,0.3482,0.966440355,-0.136220255,0.006489049,-0.217703867,53.32855074,-34.76366954,-23.52311233
0.1033,-0.0892,0.8763,0.4619,0.0566,0.3275,0.8864,0.3219,0.0225,0.2811,0.9524,0.1154,0.1256,0.0932,0.9257,0.3444,0.956389674,-0.220614295,-0.000512328,-0.191436314,36.02088276,-39.37424023,-20.15118102
