S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
0.0322,-0.0205,0.8818,0.4699,-0.1868,-0.173,0.6145,0.7467,-0.2672,-0.1171,-0.7938,-0.5335,26.2455031814,94.731366586,-8.921668718
0.0341,-0.0221,0.8803,0.4725,-0.1865,-0.1866,0.6068,0.7497,-0.2524,-0.15,-0.796,-0.5292,23.9392223608,94.480739136,-6.5486814156
0.0338,-0.0249,0.8775,0.4776,-0.1871,-0.1914,0.6041,0.7505,-0.2468,-0.1566,-0.7951,-0.5313,24.21002348,94.13462871,-7.60212819
0.0352,-0.026,0.8777,0.4771,-0.187,-0.1966,0.6034,0.7497,-0.2412,-0.1634,-0.7947,-0.5324,22.5761953072,93.9008989818,-5.824678245
0.0405,-0.0256,0.8779,0.4763,-0.1826,-0.1899,0.6058,0.7507,-0.2379,-0.168,-0.7964,-0.5299,22.1840763168,93.9602549984,-6.0049068512
0.0495,-0.0209,0.8757,0.4796,-0.1774,-0.1762,0.606,0.755,-0.239,-0.1691,-0.7955,-0.5305,22.72999665,93.8354583296,-6.6144827164
0.0574,-0.0162,0.8742,0.4817,-0.1696,-0.1613,0.6084,0.7582,-0.2433,-0.166,-0.7924,-0.5339,23.9766258384,93.8420350088,-6.7452834436
0.0764,-0.0018,0.871,0.4852,-0.1509,-0.1179,0.6218,0.7593,-0.2535,-0.1298,-0.7872,-0.5468,29.4939962048,93.7569695224,-7.7935077688
0.0812,0.0027,0.8703,0.4857,-0.1444,-0.1058,0.6267,0.7583,-0.2625,-0.1016,-0.7838,-0.5535,29.6774255136,93.607641318,-8.5310322068
0.0838,0.0056,0.8707,0.4844,-0.137,-0.0926,0.6339,0.7554,-0.2857,-0.0534,-0.7735,-0.5631,34.7496413804,93.1324946008,-10.8122075728
0.0827,0.0097,0.8753,0.4763,-0.1354,-0.0795,0.6441,0.7485,-0.3203,0.0204,-0.7442,-0.5858,37.828516613,92.6714100304,-12.9165652662
0.0818,0.0102,0.876,0.4751,-0.1362,-0.0767,0.6466,0.7466,-0.3297,0.0373,-0.7354,-0.5908,37.8281759064,93.1026684192,-12.6450170616
0.082,0.0109,0.8771,0.4729,-0.1346,-0.0717,0.6494,0.7449,-0.3381,0.0522,-0.7285,-0.5933,39.5103452516,92.348448918,-14.8291445776
0.0728,0.0058,0.879,0.471,-0.139,-0.082,0.6435,0.7481,-0.3427,0.0463,-0.7299,-0.5895,41.0266938166,92.1709856332,-14.836031892
0.0728,0.0058,0.879,0.471,-0.139,-0.082,0.6435,0.7481,-0.3427,0.0463,-0.7299,-0.5895,40.997490646,92.2909197364,-14.5162210332
0.058,-0.0051,0.8782,0.4746,-0.1529,-0.1178,0.6286,0.7534,-0.3324,-0.0081,-0.7489,-0.5731,37.117895996,93.3763585464,-12.6980939692
0.0518,-0.0161,0.8783,0.4749,-0.1641,-0.155,0.6152,0.7553,-0.3036,-0.0688,-0.7727,-0.5531,30.7381180032,94.2740385932,-9.1742597812
0.0518,-0.0161,0.8783,0.4749,-0.1641,-0.155,0.6152,0.7553,-0.3036,-0.0688,-0.7727,-0.5531,30.5801176888,93.909968716,-10.1563930992
0.0504,-0.0241,0.8749,0.481,-0.1677,-0.1832,0.6058,0.7557,-0.2707,-0.1347,-0.7925,-0.5294,25.115698368,94.2419551824,-5.3840365848
