S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0686,-0.0906,0.9414,0.3176,-0.2761,-0.0261,0.7985,0.5341,0.3091,0.5969,0.6063,0.4248,46.1889126494,94.591813533,-2.9066402932
-0.0681,-0.091,0.9415,0.3169,-0.2761,-0.0264,0.7985,0.5341,0.3093,0.5966,0.6065,0.4247,46.3103538936,95.1051693844,-2.6385900196
-0.0684,-0.0914,0.942,0.3156,-0.2761,-0.0264,0.7985,0.5341,0.3095,0.5964,0.6067,0.4245,46.4932110432,94.7632428232,-2.482688318
-0.0697,-0.0919,0.9425,0.3137,-0.2768,-0.0264,0.7983,0.5341,0.3087,0.5966,0.6067,0.4248,46.7805720274,95.575843719,-2.51093193
-0.0698,-0.0921,0.9425,0.3134,-0.2767,-0.0266,0.7982,0.5343,0.3083,0.5964,0.6069,0.4252,47.1451749912,95.45819542,-2.1369954816
-0.0702,-0.0917,0.9426,0.3132,-0.2767,-0.0261,0.7983,0.5341,0.3082,0.5965,0.6069,0.4251,46.5022912366,94.8484314812,-2.536472701
-0.0725,-0.0906,0.9421,0.3145,-0.2789,-0.0243,0.7982,0.5332,0.3067,0.5977,0.6063,0.4253,47.244782088,94.757980856,-2.40579958
-0.0729,-0.0908,0.9417,0.3153,-0.2791,-0.0245,0.7985,0.5327,0.3067,0.5976,0.6064,0.4254,46.5903735546,94.2917228006,-2.9995784588
-0.0728,-0.0916,0.9412,0.3168,-0.2794,-0.0258,0.7988,0.5319,0.3068,0.5971,0.6068,0.4254,46.546207294,94.8505135614,-2.6244541514
-0.0719,-0.0925,0.9407,0.3181,-0.2792,-0.0271,0.7991,0.5316,0.3076,0.5957,0.6075,0.4259,45.7225444124,94.0332758052,-2.4714703676
-0.069,-0.0956,0.9398,0.3204,-0.2785,-0.0311,0.7996,0.5309,0.3093,0.5923,0.6094,0.4266,45.2174010592,94.016440798,-2.317812871
-0.0681,-0.0978,0.9395,0.321,-0.278,-0.0335,0.8001,0.5303,0.3097,0.591,0.6104,0.4267,46.459202842,94.93641376,-2.8193141102
