S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3842,0.1211,0.8557,0.3246,-0.2636,0.4331,0.7526,0.4199,41.0125162904,78.1635750234,51.840856732
-0.384,0.1196,0.8562,0.3242,-0.2635,0.4312,0.7528,0.4218,40.8907199904,78.1677999408,51.902743384
-0.3827,0.1178,0.8567,0.3249,-0.2632,0.4302,0.7517,0.4247,41.1753926144,78.7435159712,52.0617906384
-0.3811,0.1149,0.8571,0.3267,-0.2621,0.4282,0.7493,0.4315,40.5316353936,78.32642468,52.1582751864
-0.3808,0.1134,0.8576,0.3264,-0.2624,0.426,0.7503,0.432,39.8669445448,78.6711060056,52.1448295104
-0.3793,0.1119,0.8579,0.3277,-0.2617,0.4251,0.7497,0.4343,40.4185656108,78.9236819998,52.178522683
-0.3771,0.1086,0.8585,0.33,-0.2583,0.4234,0.7463,0.4437,39.748414514,78.7529247678,52.1345247232
-0.3758,0.1075,0.8587,0.3313,-0.258,0.4207,0.7461,0.4468,39.4851285466,78.7539828938,52.7878998638
-0.374,0.1058,0.8591,0.3326,-0.2575,0.4194,0.7459,0.4486,39.8624355624,78.8226462464,52.714275096
-0.3715,0.1046,0.8584,0.3377,-0.2562,0.4185,0.7424,0.456,39.1835380522,78.7213066408,53.2019510798
-0.3702,0.1029,0.8588,0.3387,-0.2543,0.4172,0.7413,0.46,39.01672804,78.070933794,53.553457142
-0.3693,0.1015,0.8592,0.3391,-0.2527,0.4163,0.741,0.4622,39.3060812464,78.110886212,53.4420790312
-0.3681,0.0996,0.8598,0.3394,-0.2499,0.4146,0.7401,0.4666,38.4604365016,78.088093142,53.6474199388
-0.3687,0.0991,0.8599,0.3385,-0.2502,0.4133,0.7407,0.4666,38.4603714584,78.1730361,53.5057407088
-0.3683,0.0991,0.8601,0.3387,-0.249,0.414,0.7393,0.4688,38.6313947232,78.0312049056,53.6437739968
-0.3676,0.0984,0.8602,0.3392,-0.2475,0.4147,0.7377,0.4715,38.5393122032,77.989250056,53.214403216
-0.3674,0.0979,0.8605,0.3389,-0.2496,0.4146,0.7384,0.4694,38.386428399,78.0581803202,53.7587441296
-0.3669,0.098,0.8605,0.3393,-0.2525,0.4146,0.7395,0.4663,38.5504108644,78.003849861,53.519660957
-0.3648,0.0982,0.8606,0.3413,-0.2532,0.4155,0.7407,0.4632,38.5777036992,78.0369983792,53.6360918896
-0.3627,0.0979,0.8612,0.3421,-0.2537,0.4154,0.7409,0.4626,38.6047988756,77.810848257,54.077942363
-0.3616,0.0975,0.8614,0.343,-0.254,0.4139,0.7445,0.458,38.7742192924,77.7610998672,53.900951098
-0.3593,0.0953,0.8627,0.3427,-0.2531,0.4125,0.751,0.449,38.5816775656,78.05424841,54.60400961
-0.3579,0.0944,0.8632,0.3431,-0.2535,0.412,0.7532,0.4456,38.5283348878,78.55171511,54.9458778816
-0.3557,0.0948,0.8631,0.3455,-0.2503,0.4148,0.7538,0.4438,38.7892452288,78.2541108222,55.1274884398
-0.3526,0.0957,0.8627,0.3493,-0.2428,0.4194,0.7604,0.432,38.6891769088,78.1770966608,55.746725448
-0.3504,0.0953,0.8634,0.3502,-0.2542,0.4162,0.7672,0.4164,39.0323409138,78.6834283178,56.7773566872
-0.348,0.0959,0.8632,0.3528,-0.2617,0.414,0.7662,0.4157,38.8964500458,78.3990300124,56.4943302256
-0.3428,0.0984,0.8627,0.3583,-0.2527,0.4146,0.7531,0.4437,38.7478875464,78.457282592,57.3273574806
-0.3417,0.0989,0.8625,0.3597,-0.2504,0.4172,0.7487,0.45,38.955788888,78.449902508,57.7418151704
-0.3399,0.0994,0.8623,0.3618,-0.2491,0.4113,0.7451,0.4619,38.9303188864,78.267498401,57.317673488
-0.3394,0.0977,0.8624,0.3626,-0.2518,0.3956,0.7451,0.4741,39.0792799552,77.7004840146,57.4716296416
-0.3398,0.0961,0.863,0.3611,-0.2532,0.3944,0.7443,0.4755,38.8541893646,78.1484979976,57.297374395
-0.3399,0.0959,0.863,0.361,-0.2526,0.3959,0.7442,0.4748,39.06524794,77.9372236938,57.4328743506
-0.3414,0.0953,0.8624,0.3612,-0.2493,0.4035,0.7477,0.4645,38.902511015,77.963833297,56.886791073
-0.3419,0.0949,0.8626,0.3604,-0.248,0.4069,0.7492,0.4598,39.1531690346,77.7638095964,57.1339341218
-0.3432,0.0949,0.8624,0.3597,-0.2448,0.4072,0.7523,0.4561,39.2483898828,78.0465564868,56.8785163588
-0.3464,0.0954,0.8619,0.3576,-0.2469,0.4022,0.766,0.4364,38.6376841572,78.0743701972,57.3151681852
-0.3493,0.0953,0.8617,0.3553,-0.255,0.3944,0.7771,0.4188,38.4530573432,78.5965028832,56.8600989592
-0.3508,0.095,0.8617,0.3538,-0.2528,0.3912,0.7819,0.414,38.4818083016,78.7412044536,56.7201176576
-0.354,0.0946,0.8624,0.3492,-0.2415,0.3927,0.775,0.4321,38.582136572,78.6658747216,56.071072708
-0.3543,0.0949,0.8627,0.3478,-0.2365,0.3953,0.7683,0.4443,38.4013093012,78.6997833344,55.077596474
-0.3549,0.0953,0.8626,0.3474,-0.2366,0.3968,0.7634,0.4511,38.348242608,78.6038873438,55.2631915966
-0.3552,0.0957,0.8621,0.3482,-0.2377,0.3986,0.7581,0.4579,38.470137932,78.0021943232,54.7703389824
-0.3557,0.0934,0.8625,0.3475,-0.2391,0.4038,0.7484,0.4686,38.3977736304,77.3864674376,54.619473242
-0.3558,0.0922,0.863,0.3463,-0.2388,0.4026,0.7477,0.4708,38.361915869,77.458786971,54.2625385542
-0.3554,0.0917,0.8629,0.3472,-0.2382,0.4046,0.7457,0.4726,37.8087445086,77.9333069606,53.8403701316
-0.3552,0.0917,0.863,0.3471,-0.2402,0.4067,0.7459,0.4692,37.849413962,77.424197649,53.862325345
-0.3552,0.0914,0.8633,0.3465,-0.2455,0.4064,0.7485,0.4628,38.0719945566,77.4064388156,53.8930474734
-0.3535,0.0912,0.864,0.3466,-0.2514,0.404,0.7547,0.4514,38.4014471584,77.6821045052,53.8588542368
-0.3531,0.0907,0.8645,0.346,-0.2534,0.4028,0.7583,0.4454,38.4316456128,77.9654664428,54.2268524694
-0.3526,0.09,0.8649,0.3455,-0.2536,0.4035,0.7619,0.4385,38.4811217286,77.7523104992,54.4719577152
-0.3496,0.0906,0.8649,0.3483,-0.2562,0.4068,0.773,0.4137,38.6054092946,78.6966484376,54.6713995448
-0.3496,0.0906,0.8649,0.3483,-0.2562,0.4068,0.773,0.4137,38.5741819816,78.9670959692,56.0996639976
-0.3475,0.0914,0.8648,0.3506,-0.2698,0.4063,0.7691,0.4127,38.606228472,78.7758152804,56.1758142096
-0.3458,0.093,0.8641,0.3534,-0.2645,0.4101,0.761,0.4273,38.7104951194,79.3076678218,56.4777412028
-0.3458,0.093,0.8641,0.3534,-0.2645,0.4101,0.761,0.4273,38.8107024406,78.9072865198,56.694823305
-0.3438,0.0931,0.8645,0.3545,-0.259,0.416,0.7529,0.439,38.6843224032,78.8599963052,56.6064503348
-0.3421,0.093,0.8643,0.3566,-0.2639,0.406,0.7533,0.4448,38.8618250368,78.8952053386,56.2220639514
-0.3421,0.093,0.8643,0.3566,-0.2639,0.406,0.7533,0.4448,39.0187940176,78.6352456928,56.536485968
-0.3416,0.0927,0.8648,0.356,-0.2645,0.3964,0.7534,0.4529,39.0900710458,78.5357522926,56.5406061632
-0.3421,0.0935,0.864,0.3571,-0.2607,0.3993,0.7526,0.4539,39.186968774,78.6784986124,56.496627938
-0.3421,0.0935,0.864,0.3571,-0.2607,0.3993,0.7526,0.4539,39.00169958,78.306521844,56.852420912
-0.3439,0.0936,0.8639,0.3557,-0.2536,0.4041,0.7556,0.4487,39.0640305728,78.4603790808,56.6673982616
-0.3442,0.0933,0.864,0.3553,-0.2532,0.4027,0.7661,0.4321,38.615632392,78.4246767432,57.2827553052
-0.3442,0.0933,0.864,0.3553,-0.2532,0.4027,0.7661,0.4321,38.5488570644,78.4023198804,56.9626030002
-0.3441,0.0936,0.8638,0.3556,-0.2607,0.3965,0.779,0.4096,38.6626708968,78.5531255888,56.6485035424
-0.3433,0.0936,0.864,0.3558,-0.2631,0.4015,0.776,0.4089,38.9097362892,77.9388644178,56.9835217986
-0.3433,0.0936,0.864,0.3558,-0.2631,0.4015,0.776,0.4089,38.9065706846,78.449950214,56.6496033018
-0.3441,0.0927,0.8648,0.3536,-0.2575,0.4089,0.7628,0.4295,38.7526933252,78.172299312,56.746709757
-0.3424,0.0914,0.8652,0.3546,-0.2545,0.4143,0.7569,0.4365,38.7601537762,79.213336786,55.20928909
-0.3424,0.0914,0.8652,0.3546,-0.2545,0.4143,0.7569,0.4365,38.534576721,78.9164514802,55.7360425268
-0.3406,0.0895,0.8663,0.3541,-0.2669,0.4026,0.7599,0.4348,38.8886924,78.721397665,55.889076085
-0.3399,0.0876,0.8665,0.3546,-0.2719,0.393,0.7643,0.4328,38.850530456,78.9387230614,55.4530573646
