S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.2754,0.1871,0.874,0.3536,-0.1945,0.3574,0.8052,0.4312,36.0270065504,80.5262009628,52.980159428
-0.2752,0.1871,0.8739,0.3541,-0.1943,0.3574,0.8045,0.4324,35.5836927064,80.7750759974,53.0544197462
-0.2745,0.187,0.8737,0.3551,-0.1942,0.3564,0.8043,0.4338,35.817581856,80.43275336,52.4632808832
-0.2749,0.1869,0.8734,0.3559,-0.1947,0.3571,0.8039,0.4337,35.2836246094,80.6580862568,53.6349081346
-0.2747,0.187,0.8731,0.3566,-0.195,0.3569,0.804,0.4337,35.2815914782,80.619030336,53.8974288004
-0.2745,0.1875,0.8721,0.359,-0.195,0.3578,0.8032,0.4343,35.820327946,80.4179779672,52.6072157654
-0.2742,0.1874,0.872,0.3595,-0.1951,0.3579,0.8029,0.4346,35.324013857,80.5295845104,53.8829152178
-0.273,0.1876,0.8715,0.3613,-0.1947,0.3578,0.8024,0.4359,35.1837223396,80.3398137904,53.8594489628
-0.2738,0.1873,0.8715,0.361,-0.1949,0.3577,0.8023,0.4361,35.8131732308,80.3357095264,52.650175854
-0.2744,0.1874,0.8712,0.3612,-0.1955,0.3579,0.802,0.4362,35.3027624536,80.2052441828,53.640707724
-0.2739,0.1879,0.8706,0.3627,-0.1958,0.3593,0.8009,0.4371,35.6802063168,80.07854274,53.1931021368
-0.2714,0.1879,0.8705,0.3648,-0.1969,0.3613,0.8017,0.4333,35.8512959296,80.2805892864,52.745028768
-0.2711,0.1871,0.8706,0.3651,-0.1977,0.361,0.8038,0.4292,35.6715113332,79.7080043408,53.50647993
-0.2699,0.1857,0.871,0.3658,-0.1975,0.3605,0.8067,0.4243,35.673201094,80.2969147646,53.6790055378
-0.2681,0.1854,0.8715,0.3663,-0.1947,0.3619,0.8081,0.4218,36.0952745196,80.3939965972,53.579318863
-0.2644,0.1856,0.8705,0.3711,-0.2028,0.3672,0.8184,0.3927,36.0036442456,80.5119383294,54.3116368644
-0.263,0.1851,0.8701,0.3734,-0.2164,0.3677,0.8126,0.3969,36.7263111446,81.2376046418,54.82526223
-0.2611,0.1846,0.8702,0.3746,-0.2166,0.3688,0.8055,0.4099,36.680576009,81.273468675,54.59295912
-0.2592,0.1821,0.871,0.3753,-0.2193,0.368,0.7954,0.4286,36.789483855,82.1092759928,54.0683068786
-0.2591,0.1796,0.8713,0.3759,-0.2284,0.3532,0.7965,0.4341,36.875772957,82.128284458,53.565943244
-0.2592,0.1778,0.8715,0.376,-0.2301,0.3492,0.794,0.4411,37.0212757044,81.797226711,53.4645265642
-0.2585,0.1745,0.8723,0.3764,-0.2292,0.3437,0.7877,0.4569,37.019286008,81.933909995,53.260533569
-0.2584,0.1738,0.8724,0.3764,-0.2285,0.3422,0.7863,0.4608,36.9719816584,81.8129639088,53.2948044176
-0.2578,0.1738,0.8725,0.3768,-0.2269,0.3419,0.7859,0.4624,37.1222842628,81.778707316,53.3954344728
-0.2561,0.1761,0.872,0.3781,-0.2221,0.3472,0.7894,0.4546,37.0978756846,81.332275952,53.5870126246
-0.2556,0.1795,0.8712,0.3785,-0.2168,0.3533,0.7905,0.4506,37.2885436848,80.4808182314,54.0772573502
-0.2559,0.1821,0.8704,0.3789,-0.2094,0.3577,0.7911,0.4495,37.2926231384,81.0865733168,53.6389152576
-0.2568,0.1875,0.8692,0.3786,-0.1981,0.361,0.8018,0.4329,37.1255192136,80.1022692192,54.7581171144
-0.2592,0.1888,0.8693,0.3759,-0.2047,0.3559,0.8163,0.4061,37.1701820292,79.8575272406,54.785406243
-0.2601,0.1884,0.8704,0.3731,-0.1934,0.3602,0.8085,0.423,36.870677293,80.5163987818,54.6571282322
-0.2602,0.1876,0.8715,0.3707,-0.1936,0.3751,0.776,0.4685,37.128486995,78.655948727,53.496254258
-0.2593,0.1894,0.871,0.3715,-0.1835,0.3844,0.7647,0.4833,37.0424323396,76.510104114,52.918193762
-0.2593,0.1903,0.8713,0.3705,-0.1738,0.3895,0.7575,0.494,36.54423361,76.6827735692,52.8183282636
-0.2564,0.1932,0.8712,0.3713,-0.1569,0.3981,0.7465,0.5093,36.993277199,75.8069278474,53.0824363398
-0.2559,0.1939,0.8712,0.3712,-0.152,0.3999,0.7436,0.5136,36.6581284108,75.2816612712,52.6535983264
-0.2567,0.1934,0.8717,0.3699,-0.1502,0.3993,0.743,0.5155,36.1453513134,75.3175010056,52.2844615814
-0.2546,0.1941,0.8719,0.3703,-0.1507,0.3973,0.7434,0.5164,36.4254755938,75.728293244,52.297689103
-0.2555,0.1931,0.8725,0.3688,-0.1602,0.3927,0.7497,0.5078,35.99009151,76.04657073,52.20962255
-0.2562,0.1921,0.8728,0.3682,-0.1831,0.3824,0.7677,0.4804,36.0043621872,75.8575174176,52.2464004816
-0.2606,0.1892,0.8734,0.3651,-0.2119,0.3709,0.7879,0.4434,36.1609826528,78.4229632608,51.7539717776
-0.2589,0.1898,0.8715,0.3705,-0.213,0.3724,0.792,0.4341,36.394790258,78.8918456372,52.2638335328
-0.2573,0.1898,0.871,0.3728,-0.2167,0.372,0.8071,0.4036,37.0267649176,78.400559516,53.3430629648
-0.2554,0.1887,0.8706,0.3755,-0.2457,0.365,0.8158,0.3751,36.5797624894,79.735855451,54.3469847348
-0.2521,0.1895,0.867,0.3856,-0.2481,0.3654,0.8004,0.4052,36.7587205904,79.6366074248,54.4540067936
-0.2513,0.1892,0.8669,0.3865,-0.2437,0.3701,0.7952,0.4136,37.6147374,79.7101749736,54.5189000672
-0.251,0.1864,0.8677,0.3863,-0.2418,0.3723,0.7907,0.4213,37.460403532,79.2692049764,54.2381487928
-0.2514,0.1853,0.8674,0.3872,-0.2424,0.3704,0.7897,0.4244,37.997497767,79.433434917,53.552068868
-0.2514,0.1843,0.8679,0.3866,-0.2421,0.3666,0.7875,0.432,38.0408039322,79.426248966,53.848149987
-0.2513,0.1815,0.8685,0.3867,-0.2429,0.359,0.7836,0.4449,38.1117904908,79.429286223,53.4990779166
-0.2504,0.1808,0.8688,0.3869,-0.2419,0.359,0.7828,0.4468,37.9879124124,79.365965996,53.6925497312
-0.2503,0.1807,0.869,0.3866,-0.2395,0.3609,0.7838,0.4448,38.1462385658,79.3730488044,53.8426774718
-0.2503,0.1818,0.8685,0.3871,-0.2329,0.3657,0.7872,0.4384,38.1396767788,79.0381837476,54.1400338864
-0.2507,0.1842,0.8681,0.3867,-0.2286,0.3642,0.7886,0.4393,38.1018172188,78.7966816686,54.4864356102
-0.2509,0.1865,0.8676,0.3865,-0.22,0.3619,0.7926,0.4384,38.0760556658,79.0572081676,54.1914476152
-0.2541,0.19,0.8673,0.3834,-0.2143,0.3558,0.8114,0.4111,37.9264429848,78.857830432,55.0352800128
-0.2543,0.19,0.8684,0.3806,-0.207,0.3539,0.8141,0.4111,37.732386379,78.742340465,55.130112403
-0.2546,0.1898,0.8689,0.3794,-0.1978,0.3601,0.7972,0.4422,37.321168206,78.8753391744,55.1008130816
-0.2551,0.1896,0.8703,0.376,-0.1967,0.368,0.7801,0.466,37.500301209,77.436443086,54.473064443
-0.2561,0.189,0.8712,0.3737,-0.1947,0.3706,0.7759,0.4718,37.3485405824,77.1270488528,53.382435416
-0.2564,0.1887,0.8717,0.3723,-0.1891,0.3737,0.77,0.4812,36.8433671448,77.1575067494,52.9519030822
-0.2558,0.1884,0.8717,0.3728,-0.1751,0.379,0.7601,0.4978,36.7834198766,76.8672430708,52.4003158824
-0.2543,0.1874,0.8729,0.3715,-0.1685,0.3812,0.7566,0.5037,36.049576552,76.2727235736,52.5205244152
-0.2537,0.1864,0.8737,0.3707,-0.161,0.382,0.7525,0.5117,36.00542222,76.3432721366,52.1325985442
-0.2528,0.1854,0.874,0.371,-0.1544,0.383,0.7479,0.5196,35.337433582,76.084042061,52.163927621
-0.2529,0.1854,0.8739,0.3712,-0.1555,0.3828,0.7481,0.5191,35.289594998,75.8667788966,52.0282341134
-0.2534,0.1852,0.8742,0.3704,-0.1624,0.3808,0.7516,0.5134,35.5628287784,75.902089289,52.3414655614
-0.2532,0.186,0.8742,0.3701,-0.1865,0.3725,0.768,0.4863,35.6444692896,76.1919742664,51.8679724056
-0.2557,0.1859,0.8739,0.3692,-0.2005,0.3664,0.7788,0.468,36.340079574,77.4243012066,52.091793009
-0.2565,0.1859,0.8734,0.3698,-0.2108,0.363,0.7888,0.4487,36.5905350886,77.2819844228,53.018619221
-0.2539,0.1875,0.8716,0.3749,-0.2173,0.3693,0.8056,0.4091,36.9130982364,78.3589185322,52.986170859
-0.2521,0.1877,0.8703,0.3789,-0.2396,0.3641,0.8115,0.3891,37.0702181032,78.4302194784,55.417166484
-0.2505,0.1877,0.8698,0.3812,-0.2365,0.3673,0.7996,0.4118,37.626159419,78.2383696088,55.8624983534
-0.2482,0.1878,0.8679,0.3869,-0.2389,0.3674,0.7941,0.4208,37.3159023486,78.5788828134,56.0644665674
-0.2482,0.1878,0.8679,0.3869,-0.2389,0.3674,0.7941,0.4208,38.0611334694,78.8052725516,55.3238065014
-0.2474,0.1856,0.8695,0.3848,-0.2382,0.3715,0.7894,0.4265,38.251587737,78.246307453,55.074235536
-0.2489,0.184,0.8695,0.3847,-0.2407,0.3609,0.7868,0.4387,38.708267372,78.9764165384,54.3245258112
