S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3043,0.1367,0.867,0.3698,-0.2036,0.3905,0.7825,0.44,37.2021881996,71.1166241478,55.5126336904
-0.2968,0.1376,0.8675,0.3744,-0.1982,0.3952,0.7817,0.4396,38.40624583,72.143259328,53.273046512
-0.2917,0.1398,0.8649,0.3837,-0.187,0.4032,0.7814,0.4378,37.931878014,70.13567345,56.026963048
-0.2897,0.1412,0.8644,0.3857,-0.182,0.4099,0.7802,0.436,39.076920517,70.109636161,56.09436823
-0.288,0.1436,0.8631,0.3889,-0.1796,0.4153,0.7778,0.436,39.6836800584,70.598020074,55.0581146732
-0.2874,0.147,0.8602,0.3945,-0.1958,0.4205,0.785,0.4104,40.5189899432,69.557368872,56.2401032136
-0.2869,0.1466,0.8593,0.3971,-0.1931,0.4183,0.7745,0.4332,41.2616298992,71.1430002756,55.321066408
-0.2869,0.1466,0.8593,0.3971,-0.1931,0.4183,0.7745,0.4332,40.7121112336,71.0893423456,55.032156544
-0.2857,0.1478,0.8576,0.4011,-0.1814,0.4216,0.7622,0.4564,40.8451012904,71.0248655844,54.4855715024
-0.2861,0.148,0.8575,0.4009,-0.1876,0.418,0.7624,0.4569,41.7367603728,71.323259209,53.8570507692
-0.2869,0.1477,0.8571,0.4013,-0.1901,0.4168,0.759,0.4625,41.4418686672,71.0731477672,53.6678736384
-0.2896,0.1449,0.8572,0.4002,-0.1967,0.4083,0.7498,0.4819,41.8913147384,71.5689287084,53.1209770592
-0.2902,0.1436,0.8574,0.3998,-0.1978,0.4067,0.7453,0.4897,41.7571441116,72.1532808392,52.513039006
-0.2901,0.1423,0.8573,0.4005,-0.1986,0.4023,0.7414,0.4989,41.8588714414,71.666191863,53.1979895832
-0.2938,0.1404,0.859,0.3949,-0.2005,0.3935,0.7435,0.5018,41.4844623904,72.195997468,52.9264695952
-0.2944,0.1407,0.8587,0.3948,-0.199,0.3941,0.7441,0.5012,41.78756731,72.5799394322,52.471829275
-0.2957,0.1407,0.8588,0.3939,-0.1981,0.3951,0.7453,0.499,41.71923354,72.3332159768,53.2621757428
-0.301,0.1403,0.8593,0.3889,-0.189,0.3942,0.7637,0.4747,42.0830457326,72.5419165592,52.7461491708
-0.3035,0.1409,0.8596,0.3861,-0.1806,0.3981,0.7725,0.4604,41.6407593208,73.5878558592,52.2938306456
-0.3074,0.1427,0.8597,0.382,-0.1766,0.4028,0.7766,0.451,41.4436013968,73.5494442356,52.9946988744
-0.3168,0.1461,0.8585,0.3756,-0.2005,0.3935,0.8045,0.3969,41.5325119072,74.2967613728,51.6985083456
-0.3222,0.1466,0.8583,0.3713,-0.2051,0.3903,0.8052,0.3964,41.5367191038,74.7603683128,51.634868697
-0.3269,0.145,0.8603,0.363,-0.2166,0.3882,0.7953,0.412,40.726103394,74.4701391876,52.430218536
-0.3346,0.1389,0.863,0.3518,-0.2207,0.3873,0.7865,0.4273,40.1223420672,74.862831104,50.0258792912
-0.3346,0.1376,0.8641,0.3496,-0.2158,0.3875,0.786,0.4305,39.119107268,74.8838403558,49.0969761168
-0.3361,0.1363,0.8646,0.3473,-0.2112,0.385,0.786,0.4351,39.4162487074,74.1409286766,49.8256729372
-0.3334,0.1354,0.8664,0.3459,-0.2003,0.3861,0.781,0.4479,38.6675663966,74.8793629354,49.0964363412
-0.3327,0.135,0.8672,0.3449,-0.1963,0.3861,0.7797,0.452,38.293478868,74.538062546,49.289473326
-0.3319,0.1339,0.868,0.344,-0.1888,0.3868,0.7771,0.4589,38.4080650938,74.3584849582,49.241493374
-0.3302,0.1328,0.8682,0.3457,-0.1809,0.3851,0.7737,0.4692,37.662930299,74.3468091636,49.1882292614
-0.3302,0.1323,0.8686,0.3447,-0.1813,0.3836,0.775,0.4683,37.6541392764,74.3599462758,49.5837754574
-0.3308,0.1319,0.869,0.3434,-0.1835,0.3829,0.7755,0.4672,37.7854582388,74.2909331112,49.6092255644
-0.3298,0.1328,0.8686,0.3447,-0.1911,0.3807,0.7777,0.4621,37.866285588,74.553013794,49.4295582048
-0.3296,0.1339,0.8683,0.3454,-0.1986,0.379,0.7813,0.4543,38.3283072004,74.3621726024,50.075180812
-0.3302,0.1351,0.8677,0.3457,-0.213,0.3752,0.7869,0.4411,38.1057955264,74.408104589,50.1340383702
-0.3277,0.1394,0.8658,0.3513,-0.2187,0.3776,0.7957,0.4198,38.9868022232,74.833589482,50.4562005276
-0.327,0.1413,0.8645,0.3543,-0.2181,0.3789,0.7988,0.413,39.626116764,74.4663155856,52.0339923672
-0.3258,0.1441,0.8625,0.3592,-0.21,0.383,0.8026,0.406,39.331286588,74.682462464,51.668779292
-0.3237,0.1469,0.8617,0.3619,-0.2026,0.3876,0.8043,0.4019,40.293576204,74.2657129936,53.6172700728
-0.3198,0.149,0.8613,0.3652,-0.1978,0.3966,0.8095,0.3847,40.000236092,74.506604964,54.0730547912
-0.3183,0.1491,0.8607,0.3681,-0.2128,0.3959,0.8116,0.373,39.9999785656,74.6440723332,53.5025413744
-0.317,0.1488,0.8607,0.3693,-0.2095,0.3981,0.8028,0.3911,39.9396745864,75.334153834,53.9509281944
-0.3131,0.148,0.8616,0.371,-0.2028,0.3961,0.7936,0.4147,39.955120034,76.106933034,52.928844245
-0.3111,0.1471,0.8613,0.3737,-0.1973,0.3983,0.7884,0.4251,40.2829023414,75.8847983104,52.9050625606
-0.3092,0.1466,0.8616,0.3746,-0.2019,0.3887,0.7915,0.426,40.2984925366,75.8415090076,52.4965494814
-0.3082,0.1447,0.8625,0.3741,-0.2108,0.3743,0.7872,0.4423,40.67639119,75.8520608922,51.7205077362
-0.3076,0.1434,0.8627,0.3746,-0.2078,0.3679,0.7836,0.4553,40.735581598,75.7387870352,51.9336302408
-0.3071,0.1422,0.8637,0.3733,-0.2113,0.3615,0.7807,0.4638,40.6879165252,75.9666557412,51.4573909928
-0.3063,0.1414,0.8641,0.3733,-0.2134,0.3582,0.7789,0.4684,40.7957042198,76.0732155666,51.1765358846
-0.3062,0.1412,0.8645,0.3726,-0.2113,0.3569,0.7779,0.4718,41.0000706418,76.0304615038,51.3932996518
-0.3071,0.1416,0.8644,0.3718,-0.21,0.3552,0.7783,0.4732,40.837056387,76.2439992898,51.4283413162
-0.3085,0.1441,0.8636,0.3716,-0.2036,0.3597,0.7829,0.4648,41.03567371,76.3136819676,51.5972743068
-0.3093,0.1461,0.8628,0.372,-0.1954,0.3695,0.791,0.4467,40.9002828292,76.2764727058,51.6782604002
-0.31,0.1483,0.8624,0.3715,-0.1892,0.3776,0.7938,0.4374,41.0860888536,75.966301816,51.964388818
-0.3152,0.1522,0.8616,0.3673,-0.1818,0.3842,0.8065,0.4108,40.8956496346,76.5803931568,51.797557857
-0.3173,0.1529,0.8615,0.3654,-0.1912,0.3768,0.8217,0.3823,40.4853650256,76.6032251646,51.638365392
-0.3199,0.1528,0.8615,0.3632,-0.1868,0.3784,0.8216,0.383,40.4030701554,76.4973737544,51.4625161734
-0.3229,0.1495,0.8638,0.3563,-0.2029,0.3765,0.8109,0.3991,39.792483801,75.907879482,50.989388195
-0.3242,0.1483,0.8643,0.3546,-0.2062,0.3768,0.8065,0.4061,39.9723876202,75.6249726862,50.9647914552
-0.3253,0.1456,0.8651,0.3526,-0.2076,0.3808,0.7963,0.4215,39.4637201006,75.3483069626,49.8112268776
-0.3244,0.1429,0.8668,0.3504,-0.2025,0.3815,0.7906,0.4338,39.1123401018,74.7278194952,49.8498462134
-0.3244,0.142,0.8672,0.3498,-0.1989,0.384,0.7869,0.44,39.2839986432,74.5775481312,49.8837787328
-0.3242,0.1415,0.867,0.3507,-0.193,0.3858,0.7839,0.4463,38.8186106328,74.0644655568,49.7414423016
-0.3237,0.1406,0.8676,0.3501,-0.1842,0.3873,0.7792,0.4569,38.6516283006,73.802897742,49.849741779
-0.3233,0.1401,0.8677,0.3503,-0.1821,0.3871,0.7777,0.4604,38.7860429608,73.7791719918,49.7754193674
-0.3225,0.1399,0.8679,0.3507,-0.1792,0.3864,0.7767,0.4638,38.3513108022,73.5309306062,50.1727650524
-0.3231,0.1402,0.8677,0.3504,-0.1807,0.3858,0.777,0.4633,38.5269167024,73.6938004064,50.0794803192
-0.3231,0.141,0.8677,0.35,-0.1829,0.3844,0.7765,0.4644,38.5468484198,73.5694357332,50.0251419014
-0.3231,0.141,0.8677,0.35,-0.1829,0.3844,0.7765,0.4644,38.7208848022,73.702659392,50.3218955678
-0.3217,0.1442,0.8673,0.3511,-0.187,0.382,0.7799,0.4591,38.9156171852,73.7280109838,50.905912677
-0.3228,0.1453,0.8664,0.352,-0.194,0.3786,0.7861,0.4483,38.6940224876,73.5900393474,50.7879422658
-0.3228,0.1453,0.8664,0.352,-0.194,0.3786,0.7861,0.4483,39.2630495532,73.9863775842,51.2969830282
-0.3247,0.1445,0.8651,0.354,-0.1936,0.3739,0.7905,0.4445,39.328430788,74.5804716876,51.4263000568
-0.3236,0.1444,0.8648,0.3555,-0.1902,0.373,0.7943,0.4401,38.903838462,74.4953679088,51.6354496668
-0.3208,0.1446,0.8648,0.3581,-0.19,0.3749,0.7975,0.4327,38.83208898,74.60007391,52.8047595184
-0.3201,0.1453,0.8643,0.3596,-0.1847,0.3762,0.8071,0.4157,38.8946766576,75.564562758,53.244353314
-0.3197,0.1455,0.8638,0.3609,-0.1786,0.3782,0.8115,0.4077,38.9476854246,75.599455123,53.0727459674
-0.3173,0.1452,0.864,0.3627,-0.1781,0.3819,0.814,0.3995,38.8313996598,75.8636515126,53.5517840806
-0.3137,0.1474,0.8638,0.3656,-0.197,0.3836,0.8128,0.3914,39.2703059076,75.962043161,54.2215915286
-0.3137,0.1478,0.8636,0.3657,-0.1965,0.3876,0.8058,0.402,39.2487064014,76.2047325118,53.8110255964
-0.3129,0.1475,0.8636,0.3666,-0.1903,0.389,0.7988,0.4173,39.606033567,76.396001161,53.3820346696
-0.3094,0.1466,0.8645,0.3679,-0.1846,0.3889,0.7924,0.4321,39.5996265488,76.712376826,52.9808521612
-0.3084,0.1465,0.8645,0.3687,-0.1915,0.3807,0.7935,0.4341,39.8853105112,76.7081902336,52.704841588
-0.3067,0.1469,0.8645,0.37,-0.1993,0.3712,0.7949,0.4364,40.0385725232,76.4510078016,52.070990232
-0.3065,0.144,0.8653,0.3694,-0.2015,0.3507,0.7877,0.4645,40.4126940928,76.7298885112,51.3520908984
-0.3065,0.1428,0.8657,0.3689,-0.2037,0.3471,0.7861,0.4689,40.5295066032,76.714932513,51.3656538118
-0.3064,0.141,0.8663,0.3682,-0.2032,0.343,0.7844,0.4749,40.227231976,77.0064818568,50.795103358
-0.3054,0.1395,0.8676,0.3665,-0.2027,0.3381,0.7847,0.4782,40.3432279182,77.1465172994,50.8246773148
-0.3056,0.1392,0.8679,0.3659,-0.2035,0.3369,0.7848,0.4786,40.5739960648,77.0595498288,50.9386567532
-0.3055,0.1396,0.8678,0.366,-0.2026,0.3373,0.7844,0.4792,40.6054537448,77.163890734,50.7452057992
-0.306,0.1425,0.8665,0.3676,-0.1934,0.3458,0.7857,0.475,40.7576464932,76.6498181896,51.4032930848
-0.3065,0.1444,0.8659,0.3679,-0.188,0.3549,0.7928,0.4583,40.6871385738,76.8755278102,51.1528748616
-0.3084,0.1473,0.8647,0.3679,-0.177,0.3706,0.7957,0.445,40.7732524998,76.2482883828,52.0602068094
-0.3119,0.1506,0.8634,0.3665,-0.1716,0.3807,0.8035,0.4241,40.5784799844,76.7252553848,51.7531471842
-0.3142,0.1504,0.8644,0.3624,-0.1845,0.3748,0.8228,0.3851,40.3255764748,76.8576001558,51.5629034158
-0.3167,0.1503,0.8641,0.361,-0.1879,0.3719,0.8285,0.3739,40.5433228044,76.9367625686,51.1281396362
-0.3187,0.1489,0.8644,0.3591,-0.1932,0.3786,0.8109,0.402,40.1677995192,75.8365538032,51.0107771052
-0.3195,0.1469,0.8666,0.3539,-0.1972,0.379,0.806,0.4093,40.1985259632,75.7874728016,50.8938609824
