S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3576,0.0139,0.8718,0.3343,-0.2897,0.3482,0.7871,0.4186,34.395944852,83.40627154,54.7424489192
-0.3564,0.0129,0.872,0.3352,-0.2903,0.3495,0.7861,0.4188,34.2481162236,84.0216291804,53.377871118
-0.3558,0.0123,0.872,0.3358,-0.2915,0.3515,0.7844,0.4194,34.2322357062,83.8836925976,53.8776486358
-0.3552,0.0119,0.8721,0.3362,-0.2926,0.3496,0.7846,0.4199,34.4883729246,83.8459064388,53.8060149318
-0.3555,0.0117,0.872,0.336,-0.2938,0.3483,0.786,0.4177,34.466917325,83.56286514,54.002552075
-0.3554,0.0116,0.872,0.3363,-0.2927,0.3485,0.7856,0.419,34.5696001092,83.7453447704,53.4467504188
-0.354,0.0124,0.872,0.3377,-0.2879,0.3482,0.7858,0.4223,34.605609663,83.6787548176,53.6009556488
-0.3541,0.0133,0.8719,0.3378,-0.2873,0.3472,0.7882,0.4189,34.301544169,83.2945386968,54.3072280084
-0.3556,0.0149,0.8713,0.3377,-0.2862,0.3461,0.7903,0.4166,34.8067249702,83.0638973118,54.4832232136
-0.359,0.0164,0.8708,0.3353,-0.2901,0.3336,0.8053,0.3948,34.643350016,83.4815641856,53.6720000768
-0.3597,0.0167,0.8709,0.3341,-0.2803,0.3323,0.8079,0.3977,34.89338228,83.44747509,53.90635383
-0.3602,0.017,0.8715,0.3322,-0.2723,0.3355,0.8059,0.4046,34.9560405044,83.1807784746,53.4344771346
-0.3623,0.0167,0.8715,0.3298,-0.2706,0.3344,0.8071,0.4042,34.8005170032,83.2059555658,53.3115700528
-0.3624,0.0165,0.871,0.3309,-0.2634,0.3383,0.7976,0.424,34.9470446904,83.8772102826,52.4507909176
-0.3611,0.0163,0.8707,0.3333,-0.2615,0.3417,0.7895,0.4373,34.5954307804,82.5996202794,52.9022216638
-0.3602,0.0159,0.8708,0.3339,-0.2648,0.3469,0.774,0.4586,34.990854628,82.8436050002,52.4768036434
-0.3599,0.0159,0.8705,0.3352,-0.2645,0.353,0.7644,0.4702,35.2490772648,81.7759151596,52.9914418076
-0.3596,0.0162,0.8699,0.337,-0.2563,0.3616,0.7525,0.4869,35.1468743592,80.4007558138,51.9931245174
-0.3578,0.0148,0.8709,0.3364,-0.2404,0.3676,0.7451,0.5017,35.1615642588,80.667892872,51.4815343964
-0.3571,0.0154,0.8704,0.3383,-0.2357,0.3706,0.7415,0.507,34.7199580572,80.1674479416,51.7414155404
-0.3577,0.0158,0.8701,0.3384,-0.235,0.3697,0.7411,0.5086,34.7495938148,79.4743297024,52.0761008004
-0.3605,0.0144,0.8716,0.3317,-0.2498,0.3589,0.7545,0.4893,34.9026574644,79.684984393,51.9379668752
-0.3618,0.0132,0.8721,0.329,-0.2568,0.3544,0.76,0.4802,35.14117252,80.871927792,51.076762884
-0.3626,0.0123,0.8721,0.328,-0.2656,0.3509,0.768,0.4651,34.8669393384,82.0076320866,50.1114941154
-0.3622,0.0119,0.872,0.3287,-0.2705,0.3482,0.7742,0.4539,35.2184225608,81.5175924528,51.7997282284
-0.3616,0.0114,0.8727,0.3277,-0.2709,0.3485,0.7755,0.4511,35.0072626758,81.8547014118,51.4616937944
-0.3602,0.0113,0.8728,0.3289,-0.2719,0.3486,0.7732,0.4544,35.1689807444,81.7307680052,52.1244826004
-0.3587,0.0114,0.8728,0.3304,-0.2689,0.3523,0.7675,0.4629,35.269564963,81.7296987498,51.8532544804
-0.3569,0.0126,0.8718,0.3348,-0.2542,0.3629,0.7521,0.4876,35.085692391,80.544585111,52.485389514
-0.3559,0.013,0.8721,0.3353,-0.242,0.3693,0.7442,0.5009,35.279894095,79.5668491562,52.6295538716
-0.355,0.013,0.8723,0.3359,-0.2355,0.3718,0.7396,0.509,35.123584134,79.6579171288,51.7789538756
-0.3537,0.0136,0.8726,0.3364,-0.2213,0.3807,0.7301,0.5224,35.004225512,78.9204310804,52.3114612748
-0.3568,0.0136,0.8729,0.3322,-0.2465,0.3702,0.7468,0.4943,35.2092760946,78.9832648026,50.578515256
-0.3579,0.0101,0.875,0.3257,-0.2642,0.3588,0.76,0.4729,35.2910349176,81.5452777868,50.0159056052
-0.359,0.0087,0.8749,0.3248,-0.2709,0.356,0.7645,0.4638,35.3775474072,81.2055750468,51.2939512872
-0.3565,0.0077,0.8745,0.3286,-0.2722,0.3562,0.7729,0.4488,35.0694675606,82.1344472024,50.3115186122
-0.3554,0.0081,0.8743,0.3303,-0.2687,0.3564,0.7819,0.4349,35.336512884,82.121004368,53.406059958
-0.3546,0.0081,0.875,0.3292,-0.2738,0.3549,0.7888,0.4204,35.3224891578,81.978829639,53.1234058244
-0.353,0.0106,0.8749,0.3312,-0.2893,0.3533,0.7947,0.3995,35.6560615798,82.5755195758,53.8821459994
-0.3535,0.012,0.8736,0.3341,-0.2843,0.3533,0.7864,0.419,35.5379230416,82.9123603688,54.30136506
