S8_w,S8_x,S8_y,S8_z,S9_w,S9_x,S9_y,S9_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.2042,0.0347,0.9364,0.283,0.3929,0.0664,0.8189,0.4129,-0.7329,-0.032,0.6328,0.2475,0.0543,0.0512,0.9776,0.1964,0.621277037,0.113943435,-0.765823397,-0.12060788,25.95387957,54.75176192,40.71033698
0.2042,0.0347,0.9364,0.283,0.3929,0.0664,0.8189,0.4129,-0.7329,-0.032,0.6328,0.2475,0.0543,0.0512,0.9776,0.1964,0.625892308,0.081899356,-0.769915155,-0.093712159,25.95387957,54.75176192,40.71033698
0.1906,0.0499,0.9398,0.2789,0.3803,0.0716,0.8295,0.4024,-0.7351,-0.0441,0.6342,0.2355,0.0528,0.0507,0.9773,0.1986,0.627340285,0.080748361,-0.768665289,-0.095276142,22.52673198,55.5601223,40.64438628
0.1824,0.0599,0.9423,0.2738,0.3633,0.0785,0.8449,0.3845,-0.742,-0.0535,0.6284,0.2272,0.047,0.0488,0.9769,0.2024,0.632347998,0.079452509,-0.764362601,-0.097842333,22.52673198,55.5601223,40.64438628
0.1765,0.0738,0.9453,0.2641,0.3556,0.0814,0.8516,0.3761,-0.7465,-0.0595,0.6242,0.222,0.0449,0.0482,0.9768,0.2036,0.618642568,0.056462821,-0.780161803,-0.073762342,22.52673198,55.5601223,40.64438628
0.1727,0.0817,0.947,0.2578,0.3414,0.0872,0.8629,0.3619,-0.7465,-0.0618,0.6253,0.2187,0.0425,0.0473,0.9768,0.2041,0.618642568,0.056462821,-0.780161803,-0.073762342,21.43420353,57.14904143,41.11143765
0.1727,0.0817,0.947,0.2578,0.3414,0.0872,0.8629,0.3619,-0.7465,-0.0618,0.6253,0.2187,0.0425,0.0473,0.9768,0.2041,0.620857971,0.05332615,-0.778811746,-0.07172144,21.43420353,57.14904143,41.11143765
0.1698,0.0946,0.9483,0.2509,0.3341,0.0916,0.8683,0.3547,-0.7509,-0.072,0.6217,0.2106,0.0405,0.0464,0.9769,0.2044,0.616693482,0.046738475,-0.783298369,-0.06283573,20.10209196,58.24887943,41.63159645
0.1686,0.103,0.9486,0.2471,0.317,0.0991,0.8798,0.3397,-0.7523,-0.0753,0.6198,0.21,0.038,0.0452,0.9767,0.2061,0.616715133,0.04622864,-0.78341953,-0.061475182,20.10209196,58.24887943,41.63159645
0.1676,0.1183,0.9489,0.2396,0.3054,0.1061,0.8886,0.3251,-0.7531,-0.0844,0.6181,0.2088,0.0358,0.0444,0.9765,0.2076,0.616265255,0.045163336,-0.784388559,-0.053962919,20.10209196,58.24887943,41.63159645
0.1662,0.1286,0.9492,0.2339,0.2913,0.1123,0.8991,0.3065,-0.7539,-0.092,0.6173,0.205,0.0328,0.0433,0.9761,0.2098,0.616265255,0.045163336,-0.784388559,-0.053962919,20.31727959,58.71799082,43.55625849
0.1662,0.1286,0.9492,0.2339,0.2913,0.1123,0.8991,0.3065,-0.7539,-0.092,0.6173,0.205,0.0328,0.0433,0.9761,0.2098,0.616951522,0.04097183,-0.78444403,-0.048370359,20.31727959,58.71799082,43.55625849
0.1666,0.1414,0.9487,0.2281,0.2846,0.1161,0.9044,0.2957,-0.755,-0.0974,0.6149,0.2054,0.0305,0.0428,0.976,0.2109,0.616382205,0.04145257,-0.785116469,-0.044122467,20.81807362,59.21829492,45.05744427
0.1666,0.1454,0.9483,0.2277,0.2767,0.1184,0.9091,0.2877,-0.7566,-0.1002,0.6125,0.2055,0.028,0.0423,0.9758,0.2126,0.61850147,0.040497127,-0.783435632,-0.045216422,20.81807362,59.21829492,45.05744427
0.1674,0.1488,0.9474,0.2282,0.2736,0.1198,0.9111,0.2837,-0.7566,-0.1035,0.6121,0.2049,0.0268,0.0422,0.9757,0.2133,0.61850147,0.040497127,-0.783435632,-0.045216422,20.81807362,59.21829492,45.05744427
0.1677,0.1489,0.9473,0.2284,0.274,0.1199,0.9111,0.2833,-0.7553,-0.1036,0.613,0.2069,0.0266,0.0424,0.9755,0.2139,0.61635045,0.040209448,-0.785423646,-0.040062683,21.00576041,59.26023239,45.84415311
