S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0747,-0.1027,0.9342,0.3331,-0.2963,-0.1035,0.7747,0.5487,0.259,0.5786,0.6218,0.4597,33.637748425,99.051041545,6.427207315
-0.0738,-0.1026,0.9338,0.3346,-0.2927,-0.1079,0.772,0.5537,0.2641,0.5775,0.6168,0.465,31.5787623352,98.6736607172,8.414511838
-0.0737,-0.1018,0.9337,0.3349,-0.2923,-0.1079,0.7713,0.5548,0.2675,0.5761,0.6142,0.4682,31.7975365252,98.6998589908,7.6429969222
-0.0744,-0.1006,0.9335,0.3358,-0.2915,-0.106,0.7725,0.554,0.2687,0.5763,0.6129,0.4689,31.7921466552,98.34226128,7.8447210068
-0.0734,-0.1011,0.9335,0.3358,-0.2908,-0.104,0.7724,0.5548,0.2693,0.5751,0.6141,0.4683,32.0185843872,98.334526543,7.3371233434
-0.0709,-0.1016,0.9336,0.3359,-0.2903,-0.0971,0.7697,0.5601,0.2696,0.5736,0.6157,0.4679,32.25568777,98.5732790572,7.575007921
-0.0692,-0.0983,0.9348,0.3339,-0.2968,-0.0745,0.7763,0.551,0.2641,0.5681,0.6307,0.4577,35.0211375952,98.2839862432,5.7531237356
-0.0678,-0.0976,0.9362,0.3305,-0.2963,-0.0665,0.7818,0.5444,0.2588,0.5671,0.6445,0.4425,40.4146937508,97.7534134314,0.9517850634
-0.0676,-0.0975,0.9369,0.3286,-0.2995,-0.0589,0.7875,0.5352,0.261,0.5642,0.6494,0.4378,39.936221432,98.0467572478,0.8886345082
-0.0679,-0.0989,0.9373,0.3269,-0.3117,-0.0551,0.7909,0.5236,0.2706,0.5538,0.6472,0.4483,42.325201044,97.6064151248,-2.7686095268
-0.0687,-0.1004,0.9376,0.3255,-0.3157,-0.0545,0.7915,0.5203,0.2718,0.5483,0.6478,0.4534,42.4072873116,97.5554554098,-4.508916416
-0.0683,-0.1015,0.9379,0.3243,-0.3197,-0.054,0.7924,0.5165,0.2738,0.5444,0.6478,0.457,42.148688569,97.376562848,-4.589762451
-0.0684,-0.1021,0.9384,0.3227,-0.3217,-0.0526,0.7932,0.5142,0.2799,0.5386,0.6466,0.4619,42.6243373342,97.2408501624,-5.686758207
-0.0701,-0.1018,0.9378,0.3242,-0.3215,-0.0528,0.7924,0.5154,0.2805,0.5385,0.6472,0.4608,42.9475596812,96.7854359532,-5.9144069326
-0.0726,-0.1016,0.937,0.3259,-0.3222,-0.0592,0.7891,0.5195,0.2772,0.543,0.6483,0.4559,43.0689643572,96.8115509936,-5.7767147884
-0.0759,-0.1002,0.9356,0.3297,-0.3099,-0.0773,0.7848,0.5309,0.2622,0.5618,0.6454,0.446,41.4385429536,97.4207169944,-3.695905516
-0.0757,-0.1002,0.9349,0.3317,-0.3043,-0.0834,0.7831,0.5358,0.2552,0.572,0.6454,0.437,37.2698949174,98.509013177,1.4785819892
-0.0748,-0.1013,0.9343,0.3334,-0.2988,-0.0938,0.7792,0.5427,0.2541,0.5803,0.6379,0.4377,37.9144336742,98.5512745676,1.6980311746
-0.0711,-0.1035,0.9336,0.3353,-0.2886,-0.1047,0.7761,0.5505,0.2672,0.5768,0.621,0.4584,33.9124499702,98.6533638344,6.0114095746
-0.0712,-0.1035,0.9331,0.3369,-0.2874,-0.105,0.7761,0.5513,0.2718,0.5759,0.6166,0.4627,32.382464016,98.3391485446,7.9784541066
