S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0504,-0.1293,0.9242,0.3556,-0.281,-0.0691,0.7683,0.5709,0.3381,0.5627,0.5941,0.4647,44.0932659312,94.9649262144,-2.6244316864
-0.0506,-0.1292,0.9242,0.3555,-0.2817,-0.0686,0.7683,0.5705,0.3377,0.5631,0.5939,0.4649,44.1179190868,94.9627180468,-2.5979152132
-0.0509,-0.1292,0.9243,0.3554,-0.282,-0.0687,0.7682,0.5705,0.3372,0.5632,0.5939,0.4649,44.060257592,94.998343312,-2.4944904624
-0.0507,-0.1293,0.9243,0.3552,-0.2818,-0.0687,0.7685,0.5702,0.3373,0.5632,0.5941,0.4647,43.9295139984,95.006847664,-2.768039656
-0.051,-0.1291,0.9246,0.3545,-0.2817,-0.068,0.7686,0.5701,0.337,0.5635,0.5941,0.4644,44.0501405104,95.1451913046,-2.4786075934
-0.0512,-0.129,0.9248,0.354,-0.2817,-0.0677,0.7689,0.5698,0.3369,0.5638,0.5944,0.4639,43.9734904684,95.0683724644,-2.436616628
-0.0514,-0.1289,0.925,0.3536,-0.282,-0.0674,0.769,0.5696,0.337,0.5642,0.5942,0.4635,44.0825114878,95.1517460272,-2.7116705542
-0.0514,-0.1289,0.925,0.3535,-0.2822,-0.0676,0.7688,0.5697,0.3368,0.5641,0.5942,0.4637,44.061515995,95.1694628434,-2.6007841864
-0.0515,-0.129,0.9252,0.353,-0.2819,-0.0675,0.769,0.5697,0.337,0.5642,0.5944,0.4633,44.0270545538,95.0424814668,-2.5548711464
-0.052,-0.1287,0.9252,0.3529,-0.2819,-0.0675,0.7687,0.5699,0.3367,0.5646,0.5947,0.4626,44.1475224486,95.1269931138,-2.4346845138
-0.0543,-0.1289,0.9246,0.3543,-0.2855,-0.0731,0.7639,0.5739,0.3363,0.5656,0.5944,0.4622,44.0843753524,95.0302788582,-2.594296729
-0.0559,-0.1292,0.9239,0.3556,-0.2871,-0.0799,0.7602,0.5772,0.3346,0.5678,0.5947,0.4602,43.9730240746,95.0368675726,-2.4339825164
-0.0596,-0.1282,0.9229,0.3578,-0.2854,-0.0882,0.7572,0.5807,0.3265,0.5761,0.5952,0.455,42.6446677012,95.5466300332,-1.0280627408
-0.063,-0.1273,0.923,0.3575,-0.276,-0.0996,0.7557,0.5853,0.314,0.5898,0.5978,0.4428,40.730836723,95.9634916852,1.6481291622
-0.0632,-0.1281,0.9224,0.3587,-0.2741,-0.1072,0.7532,0.5881,0.3112,0.5925,0.5948,0.4451,40.9647781164,95.9829247112,1.9654024672
-0.062,-0.1292,0.9215,0.3607,-0.2693,-0.1175,0.7497,0.5928,0.3168,0.5873,0.5827,0.4636,37.4982276612,96.4173189732,5.6731023072
-0.0612,-0.1296,0.9206,0.363,-0.2629,-0.1251,0.7473,0.5972,0.334,0.576,0.5686,0.4829,35.115252284,96.1526486654,9.850787075
-0.0612,-0.1292,0.9205,0.3635,-0.2622,-0.1254,0.747,0.5978,0.3359,0.5748,0.5674,0.4844,35.8457831818,96.016736382,8.9530210018
-0.0608,-0.1283,0.9208,0.3631,-0.2607,-0.124,0.7478,0.5978,0.3382,0.5726,0.5674,0.4855,35.1673932178,95.7633165288,10.3005202586
-0.06,-0.1271,0.9209,0.3634,-0.2579,-0.1187,0.748,0.5997,0.3386,0.572,0.568,0.4851,36.0669350454,95.566613274,9.978519575
-0.0567,-0.1268,0.9214,0.3628,-0.2568,-0.1118,0.7467,0.6032,0.3381,0.5725,0.5684,0.4844,35.928486428,95.6488521392,10.0125059992
-0.0558,-0.1251,0.9212,0.3639,-0.2612,-0.1018,0.747,0.6027,0.3353,0.5729,0.5712,0.4826,37.4978051956,95.3569351384,9.6983451388
