S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0708,-0.1984,0.8906,0.4028,-0.3026,-0.142,0.7297,0.5963,0.3661,0.5863,0.5441,0.4754,37.8580230838,97.1206314648,-3.1331358852
-0.0684,-0.2,0.8902,0.4034,-0.3007,-0.1472,0.7284,0.5976,0.3707,0.5833,0.5441,0.4755,37.589429448,97.2399471092,-2.7555957224
-0.0667,-0.2006,0.8899,0.4041,-0.2996,-0.1496,0.7274,0.5989,0.3726,0.5826,0.5437,0.4755,38.209949207,97.2651748396,-3.271682475
-0.0667,-0.2006,0.8899,0.4041,-0.2996,-0.1496,0.7274,0.5989,0.3726,0.5826,0.5437,0.4755,37.348486092,97.2111998976,-2.6645059224
-0.0643,-0.2016,0.8898,0.4041,-0.298,-0.1514,0.7277,0.5988,0.3745,0.5813,0.5441,0.4749,37.4655323736,97.2306757376,-2.4934237198
-0.0642,-0.2017,0.89,0.4037,-0.2984,-0.1518,0.7277,0.5986,0.3749,0.5811,0.5441,0.4748,37.8344078436,97.309550286,-2.8319162388
-0.064,-0.2016,0.8901,0.4034,-0.2982,-0.1518,0.7277,0.5986,0.3751,0.5814,0.544,0.4744,37.6480501316,97.3194089742,-2.8727954902
-0.0651,-0.2012,0.8906,0.4024,-0.2995,-0.1522,0.7275,0.598,0.3746,0.5821,0.5435,0.4746,37.713506678,97.52829863,-2.998657898
-0.0659,-0.2007,0.891,0.4017,-0.299,-0.1506,0.7276,0.5986,0.3743,0.5827,0.5432,0.4744,37.7016829828,97.386644736,-2.6524997268
-0.0664,-0.2002,0.8912,0.4013,-0.299,-0.1497,0.7275,0.5989,0.3742,0.5834,0.5427,0.4742,37.9864184358,97.6170292128,-2.9037586878
-0.0677,-0.1987,0.8918,0.4005,-0.2992,-0.1477,0.7265,0.6007,0.373,0.5855,0.541,0.4746,38.2843717752,97.5211617516,-2.7684848378
-0.0689,-0.1977,0.892,0.4005,-0.2987,-0.1459,0.7263,0.6015,0.3725,0.5868,0.5397,0.4748,37.7808986286,97.331375791,-2.5810632652
-0.0697,-0.1972,0.892,0.4005,-0.2996,-0.1456,0.7257,0.6019,0.372,0.5876,0.5391,0.4749,38.233179047,97.484428395,-2.634805324
-0.0711,-0.1957,0.8921,0.4008,-0.3007,-0.1481,0.7232,0.6036,0.372,0.5892,0.5369,0.4754,38.0605130538,97.487730404,-2.4299233166
-0.0722,-0.1953,0.8919,0.4011,-0.3001,-0.1507,0.7216,0.6054,0.3713,0.5919,0.5349,0.4747,37.7269644986,97.305043678,-2.2716143808
-0.0722,-0.1944,0.8918,0.402,-0.2968,-0.1571,0.7172,0.6105,0.3713,0.5957,0.5318,0.4736,36.862691099,97.61419937,-1.233496992
-0.0706,-0.1891,0.8895,0.4097,-0.2808,-0.173,0.7028,0.6302,0.3659,0.615,0.5223,0.4636,34.1002387016,97.3995049398,3.2285769926
-0.069,-0.1878,0.8867,0.4166,-0.2731,-0.1768,0.6984,0.6374,0.3688,0.6083,0.5072,0.4864,33.6354033722,97.5897570592,2.5975241698
-0.0673,-0.187,0.8856,0.4197,-0.2653,-0.1816,0.6938,0.6442,0.3782,0.5989,0.4963,0.5017,30.49154525,96.7819584164,9.5484651316
-0.0658,-0.184,0.8847,0.423,-0.2633,-0.182,0.6916,0.6473,0.3907,0.5919,0.4857,0.5108,29.4371505236,96.173299478,10.4472548168
-0.0648,-0.1833,0.8846,0.4238,-0.262,-0.1809,0.6927,0.647,0.3927,0.59,0.4862,0.5109,29.3723680832,96.2966123228,9.4938724372
-0.064,-0.1834,0.8846,0.4238,-0.2609,-0.1757,0.6939,0.6476,0.3925,0.5889,0.4879,0.5106,29.7416064106,96.0638219408,10.3162753594
-0.0625,-0.1818,0.886,0.4218,-0.2693,-0.1549,0.7009,0.6419,0.3881,0.5915,0.5051,0.4942,31.9805290092,96.0509580532,8.0413395684
-0.063,-0.1796,0.8869,0.4207,-0.2741,-0.1497,0.7042,0.6375,0.3867,0.5962,0.5173,0.4767,32.0361022844,96.1511828398,7.745365074
-0.0622,-0.1788,0.8875,0.4198,-0.2797,-0.142,0.708,0.6326,0.3878,0.5941,0.5198,0.4757,36.5823246692,96.1842652294,3.328673988
-0.0615,-0.1766,0.8892,0.4174,-0.2817,-0.1369,0.7119,0.6284,0.3973,0.5867,0.5209,0.4759,40.5706025218,95.7357180948,0.3074959158
-0.0626,-0.1765,0.8889,0.418,-0.2805,-0.1427,0.7102,0.6297,0.3925,0.5958,0.5197,0.4698,40.030927356,95.7559865066,0.2083602522
-0.0641,-0.1766,0.8883,0.4189,-0.2728,-0.1538,0.7039,0.6375,0.3796,0.6099,0.5194,0.4625,39.159883284,95.9214115538,0.894994025
-0.0637,-0.1739,0.8856,0.4257,-0.262,-0.1612,0.6911,0.6539,0.3939,0.5942,0.4876,0.5038,33.581382456,96.1185746936,7.0409562672
-0.0673,-0.1679,0.8855,0.4277,-0.2595,-0.1575,0.6884,0.6586,0.4072,0.5838,0.482,0.5107,33.1552968356,96.2602175156,6.4946670508
-0.0681,-0.1644,0.8853,0.4294,-0.2583,-0.1533,0.6854,0.6632,0.4101,0.5804,0.48,0.5142,32.3405135488,94.975001176,8.4988627696
-0.0641,-0.1609,0.8844,0.4332,-0.2518,-0.1441,0.6852,0.668,0.4129,0.5781,0.4801,0.5145,33.066555172,94.670002558,8.7974297292
