S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0681,-0.2206,0.9303,0.2847,-0.2382,-0.0277,0.8265,0.5091,0.385,0.6363,0.5668,0.3541,44.0904610038,96.281898134,-5.1678710634
-0.0673,-0.2195,0.9304,0.2856,-0.2385,-0.0266,0.8271,0.5081,0.387,0.6335,0.567,0.3568,45.554514783,95.64476088,-5.45471785
-0.068,-0.2189,0.9306,0.2852,-0.2391,-0.0247,0.8286,0.5054,0.3859,0.6343,0.5675,0.3558,45.059307216,95.451476324,-5.56943675
-0.0704,-0.218,0.9305,0.2856,-0.2408,-0.0242,0.8285,0.5048,0.3836,0.635,0.5681,0.3558,46.409303214,95.162732268,-5.761646111
-0.0698,-0.2167,0.9302,0.2876,-0.2413,-0.0257,0.8268,0.5073,0.3832,0.6307,0.5673,0.3651,46.8338037156,94.7845480546,-5.3469507374
-0.0698,-0.2167,0.9298,0.2888,-0.2396,-0.0263,0.8274,0.507,0.3829,0.631,0.5683,0.3634,46.600417517,94.8351643968,-5.649651359
-0.0707,-0.2165,0.9296,0.2896,-0.2399,-0.0267,0.8276,0.5067,0.381,0.6331,0.5689,0.3607,47.2383938972,94.559465964,-4.0120815288
-0.0754,-0.2165,0.9284,0.2924,-0.2438,-0.0352,0.8225,0.5125,0.3744,0.6387,0.5687,0.3581,46.766543628,94.5996933512,-4.4319417184
-0.078,-0.2177,0.9268,0.2956,-0.246,-0.0465,0.8201,0.5145,0.3656,0.6481,0.5651,0.356,46.9861435908,94.8352085444,-4.917208324
-0.0822,-0.2182,0.9256,0.2979,-0.2463,-0.0534,0.8191,0.5152,0.3626,0.653,0.5645,0.3512,44.2574495576,95.8297502168,-2.491300568
-0.0817,-0.2232,0.9229,0.3026,-0.2454,-0.0809,0.8114,0.5241,0.3596,0.67,0.5576,0.3327,41.005993893,97.0484820732,-0.6295102076
-0.0796,-0.2279,0.9208,0.306,-0.2421,-0.1008,0.8044,0.533,0.3569,0.6686,0.5549,0.3428,41.3041337112,97.14057028,-0.7020363104
-0.0783,-0.2315,0.919,0.3092,-0.2442,-0.106,0.8023,0.5341,0.3715,0.6548,0.5521,0.358,33.887557298,98.57610345,5.983114774
-0.0819,-0.232,0.9182,0.3103,-0.2475,-0.1097,0.8004,0.5348,0.3805,0.6463,0.553,0.3626,32.2946549488,98.2853111536,5.7950971972
-0.082,-0.2315,0.9188,0.3087,-0.2449,-0.1039,0.802,0.5346,0.3808,0.644,0.5558,0.3621,32.7165202458,98.147739074,5.216886037
-0.0783,-0.2308,0.92,0.3068,-0.241,-0.0962,0.8034,0.5357,0.3802,0.6436,0.5585,0.3592,33.153764506,97.93707421,4.93366373
-0.0718,-0.2252,0.9243,0.2994,-0.2386,-0.0667,0.8127,0.5272,0.3754,0.645,0.5681,0.3466,37.7811263336,97.3057500766,3.2592074284
-0.0718,-0.2232,0.926,0.2958,-0.2378,-0.0512,0.8212,0.5159,0.3624,0.6535,0.5772,0.329,37.5507584926,97.5560974478,2.8612936144
-0.0694,-0.2212,0.9277,0.2922,-0.2355,-0.0432,0.8255,0.5109,0.3618,0.6545,0.5803,0.3222,43.5081722232,96.077409,-2.48464265
-0.0671,-0.2182,0.929,0.2911,-0.2336,-0.0315,0.8285,0.5078,0.3748,0.638,0.5817,0.3375,46.315258973,95.3236203886,-4.0928460022
-0.0682,-0.2174,0.9289,0.2917,-0.2351,-0.0347,0.8272,0.509,0.3805,0.6328,0.581,0.3422,45.685122357,95.548773162,-4.517208773
-0.0726,-0.2177,0.9271,0.2961,-0.237,-0.044,0.8259,0.5095,0.3801,0.6364,0.5795,0.3383,47.3303641658,95.0662515158,-4.0290139378
-0.0755,-0.2192,0.9249,0.301,-0.2368,-0.0695,0.8198,0.5166,0.3567,0.6697,0.5703,0.3143,42.3817570178,96.8963936932,-2.4525811288
-0.0775,-0.2208,0.9241,0.3017,-0.2359,-0.0848,0.8134,0.5247,0.3722,0.66,0.5557,0.3419,41.5200816792,96.8172007548,-2.8775914552
-0.0825,-0.2208,0.9224,0.3055,-0.2369,-0.0891,0.8093,0.53,0.3817,0.6534,0.5534,0.3479,37.1419439816,98.0615076676,2.6616273096
