S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.5044,0.1473,0.7765,0.3475,-0.2871,0.3109,0.6871,0.5904,-11.970394905,80.19299991,64.440101277
-0.5012,0.1453,0.7777,0.3502,-0.2843,0.309,0.6817,0.5989,-11.3594261804,78.6565494804,64.5288346756
-0.5034,0.1437,0.7792,0.3442,-0.2847,0.3089,0.6842,0.596,-11.207914252,78.726089516,65.52010464
-0.5043,0.1459,0.7781,0.3447,-0.2843,0.3119,0.6837,0.5952,-9.56269122,79.30518182,63.81278752
-0.504,0.147,0.7781,0.3445,-0.2844,0.3145,0.6828,0.5949,-9.5086190668,78.4631638506,64.8230260306
-0.5071,0.1457,0.7775,0.342,-0.2892,0.3106,0.6886,0.5878,-10.1244678064,79.1374985976,65.6074482224
-0.5081,0.1419,0.7788,0.3392,-0.2911,0.3076,0.6925,0.5839,-10.741355342,80.715817274,63.9096617372
-0.507,0.1408,0.7793,0.3399,-0.2922,0.3044,0.6938,0.5834,-11.0121523156,81.3992826672,63.476216216
-0.5082,0.1397,0.7793,0.3388,-0.2936,0.3011,0.6976,0.58,-10.0119080344,81.0684502262,64.8383825462
-0.5108,0.138,0.7795,0.335,-0.2935,0.3018,0.6999,0.5769,-9.7690094408,82.30078191,64.2199572716
-0.5116,0.1362,0.7803,0.3326,-0.2951,0.2985,0.7061,0.5701,-9.717230103,84.2806753608,62.4854711076
-0.5174,0.1301,0.781,0.3242,-0.2962,0.294,0.7145,0.5614,-9.6503484782,83.401741221,63.6536058884
-0.5174,0.1301,0.781,0.3242,-0.2962,0.294,0.7145,0.5614,-10.1133951178,86.1567542118,61.09029744
-0.5202,0.126,0.7816,0.32,-0.2998,0.2879,0.7205,0.5549,-10.4181197394,86.0989480906,60.9836096576
-0.5192,0.1266,0.7823,0.3197,-0.2988,0.2868,0.7216,0.5546,-10.035610588,85.7567879196,61.7272633792
-0.5198,0.1262,0.7826,0.3182,-0.2983,0.2868,0.7224,0.5539,-10.049800029,85.5204085446,61.8901210912
-0.5195,0.1254,0.7831,0.3178,-0.2987,0.2861,0.721,0.5559,-10.3409437992,84.5652881172,61.5855193236
-0.5141,0.1296,0.7824,0.3266,-0.2947,0.2912,0.7061,0.574,-10.4200648736,84.54220091,61.9704966424
-0.5141,0.1296,0.7824,0.3266,-0.2947,0.2912,0.7061,0.574,-10.6312759584,79.9958940834,64.216770175
-0.5106,0.1391,0.7791,0.3356,-0.2882,0.3062,0.6864,0.5933,-9.8970445132,76.2584044476,66.3345577048
-0.5068,0.1493,0.7763,0.3435,-0.2816,0.3191,0.6732,0.6046,-9.309491876,74.4267700436,66.9371276972
-0.5044,0.1561,0.7731,0.3511,-0.2784,0.3286,0.6628,0.6124,-9.345054366,73.2302626104,67.8928451204
-0.508,0.1538,0.7744,0.3442,-0.2827,0.3262,0.6722,0.6014,-9.4264750454,77.486464734,66.4776642158
-0.5229,0.1417,0.7763,0.3219,-0.2848,0.2983,0.7175,0.5612,-8.9053529624,87.5999589672,60.370141302
-0.5247,0.1397,0.7761,0.3204,-0.289,0.2892,0.7209,0.5595,-7.0724282408,86.2489500016,62.1973502592
-0.5235,0.1405,0.7766,0.3208,-0.291,0.2775,0.7382,0.5415,-7.4844975264,91.1159948448,57.6107881696
-0.5214,0.1448,0.7764,0.3229,-0.2872,0.2832,0.7406,0.5372,-6.0843887064,91.208970616,59.0541074598
-0.5225,0.1458,0.775,0.324,-0.2777,0.3164,0.7209,0.5503,-5.8558820734,91.1742682546,57.8532957218
-0.5227,0.1449,0.7751,0.3238,-0.248,0.3358,0.6886,0.5928,-5.7675612602,93.0518257686,56.116654282
-0.5217,0.142,0.7761,0.3242,-0.2436,0.3354,0.6795,0.6052,-6.3863281528,94.3787925784,52.6703281152
-0.5214,0.1424,0.7758,0.3254,-0.246,0.3312,0.6781,0.6081,-5.280495242,94.2519548368,53.1152587026
-0.5209,0.1417,0.7756,0.3267,-0.2599,0.3151,0.6937,0.593,-6.190223652,94.7522843548,51.4531704936
-0.5192,0.1398,0.7774,0.3261,-0.2705,0.289,0.7203,0.5695,-6.0925110476,96.2532676198,47.5875351358
-0.5194,0.1396,0.7773,0.3262,-0.2711,0.2888,0.7224,0.5666,-5.3727207764,96.3358733584,47.4921057192
-0.5184,0.1398,0.7775,0.327,-0.2695,0.2893,0.7261,0.5623,-5.5106033416,96.2409083712,46.4568474704
-0.518,0.1397,0.7777,0.3274,-0.2659,0.2971,0.7226,0.5645,-5.3440590454,95.9421980748,46.6274435546
-0.5177,0.1421,0.7766,0.3297,-0.2636,0.3059,0.711,0.5755,-5.1965860696,96.1490523068,46.1876620464
-0.5192,0.142,0.7756,0.3293,-0.2661,0.3131,0.6959,0.5888,-5.8101743394,95.7899311902,47.9431777896
-0.522,0.1398,0.775,0.3275,-0.2651,0.3191,0.6822,0.6019,-6.5259104424,96.1016039598,49.019970433
-0.5197,0.1402,0.7759,0.3288,-0.2638,0.3191,0.6796,0.6054,-6.0452628412,96.119656064,48.6468987348
-0.5197,0.1407,0.7753,0.33,-0.2686,0.3226,0.6751,0.6065,-7.378664853,95.7758832584,49.7752300594
-0.5197,0.1422,0.7741,0.3322,-0.2774,0.321,0.6847,0.5925,-6.7619718672,95.1933302664,51.3421381608
-0.5195,0.1417,0.7745,0.3317,-0.2697,0.3258,0.6747,0.6047,-6.581079792,95.3515877868,50.926443459
-0.52,0.139,0.7756,0.3293,-0.2756,0.3076,0.7028,0.5791,-6.4311587334,96.2107723632,49.482155826
-0.52,0.1378,0.7764,0.3281,-0.2794,0.2986,0.7143,0.5677,-5.9234822444,97.6810744264,46.1342394668
-0.5204,0.1359,0.7776,0.3253,-0.2794,0.287,0.7249,0.5602,-5.890873523,97.2553827168,46.8397715426
-0.5211,0.1334,0.7794,0.3211,-0.2755,0.2775,0.7356,0.553,-5.293848888,98.0741771936,44.3357165392
-0.5213,0.1325,0.7799,0.32,-0.2754,0.2779,0.7365,0.5516,-5.0307908184,98.214741002,43.587979566
-0.5213,0.1314,0.7804,0.319,-0.277,0.2747,0.7398,0.548,-5.5554787088,97.7513288218,43.9943337446
-0.5216,0.1291,0.7817,0.3165,-0.281,0.2687,0.7447,0.5423,-5.2415016736,98.2654559612,42.7348402568
-0.5221,0.129,0.7815,0.316,-0.2825,0.2704,0.7402,0.5467,-5.6476349312,97.9695709416,42.3239203976
-0.5227,0.1282,0.7814,0.3156,-0.2847,0.2708,0.7387,0.5476,-5.7198440694,97.802364582,42.770476978
-0.5211,0.127,0.7827,0.3154,-0.285,0.2764,0.7237,0.5643,-6.4054165466,98.0981628802,42.2970027118
-0.5219,0.1244,0.7847,0.31,-0.278,0.2915,0.6902,0.601,-7.5162247048,98.338886994,42.9424133444
-0.5232,0.1231,0.7861,0.3048,-0.2924,0.2783,0.699,0.5902,-6.7794374696,98.8551519032,43.21500772
-0.5249,0.1221,0.7863,0.3019,-0.3065,0.2559,0.7244,0.5618,-7.97397394,99.3282263448,43.7735794672
-0.5264,0.1227,0.7868,0.2977,-0.3338,0.1932,0.7875,0.4805,-7.964904208,98.9320836332,45.9437822746
-0.5259,0.1245,0.7868,0.298,-0.3342,0.2019,0.7877,0.4765,-8.4157656036,99.0824405082,46.8708410502
-0.5235,0.1281,0.7861,0.3024,-0.3266,0.2297,0.7706,0.4965,-8.1554142932,97.5158918206,49.4258996386
-0.523,0.1293,0.7854,0.3045,-0.3259,0.2343,0.7726,0.4917,-9.3752404764,95.799191414,52.441339168
-0.522,0.131,0.7846,0.3075,-0.3237,0.2432,0.7677,0.4965,-9.4065044084,96.280252864,51.5173838708
-0.5209,0.131,0.7846,0.3093,-0.3264,0.2489,0.7601,0.5037,-10.2957243354,94.210912108,54.5085141738
-0.5198,0.132,0.784,0.3123,-0.3434,0.2502,0.7463,0.5122,-10.4651309824,91.99243558,56.7660703096
-0.5202,0.1326,0.7838,0.312,-0.3496,0.2546,0.7379,0.518,-10.29591126,92.49322774,55.36582078
-0.5215,0.1343,0.7825,0.3122,-0.3576,0.2647,0.7206,0.5316,-10.4017579656,91.0639015336,56.7384690472
-0.521,0.1366,0.7819,0.3135,-0.355,0.2687,0.7133,0.5411,-9.564117848,88.4747567456,57.7452637056
-0.5203,0.1395,0.7813,0.3151,-0.3499,0.2761,0.7075,0.5483,-9.6255701272,88.4944065436,57.1579823924
-0.5194,0.1415,0.7804,0.3178,-0.3425,0.2827,0.7029,0.5555,-9.0790847988,86.5126887594,58.6742261646
-0.518,0.1426,0.78,0.3206,-0.338,0.2849,0.7015,0.5588,-9.6961321104,85.2759545164,58.2013650704
-0.5155,0.1458,0.7788,0.3261,-0.3339,0.2889,0.6969,0.565,-9.7670638304,85.442353296,57.6085061328
-0.5144,0.147,0.7791,0.3266,-0.3321,0.291,0.6962,0.5658,-9.9976711198,83.648735852,59.5709005636
-0.5147,0.1464,0.7785,0.3277,-0.335,0.2902,0.6963,0.5643,-10.0329242162,84.107952326,58.9456660168
-0.5154,0.1438,0.7796,0.3251,-0.3384,0.2857,0.7011,0.5588,-9.519147108,84.3764389368,58.9882142216
