S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.5421,0.2069,0.7646,0.2804,-0.3452,0.3524,0.7462,0.4469,5.50552991,81.67868889,65.15448701
-0.5418,0.2064,0.7645,0.2816,-0.3472,0.348,0.7485,0.4448,5.0682123984,82.97719829,63.4891205988
-0.5411,0.206,0.7648,0.2823,-0.3455,0.3515,0.749,0.4426,5.2859338274,83.3208497608,63.5065894978
-0.5406,0.2043,0.7659,0.2815,-0.3327,0.3795,0.7299,0.4608,5.1509742,83.56717498,63.44269947
-0.5407,0.2013,0.7667,0.2814,-0.3163,0.397,0.7081,0.4907,4.860834338,85.0377792828,61.8688361844
-0.5397,0.2015,0.7667,0.2832,-0.3095,0.4007,0.7019,0.5009,4.5916138408,85.8444427088,60.8083491816
-0.5381,0.2016,0.7672,0.2847,-0.2934,0.4125,0.6859,0.5226,4.760487096,85.8524073576,60.8371020932
-0.5379,0.1994,0.7684,0.2833,-0.2515,0.4417,0.6533,0.5609,4.5964223,86.692254729,59.836552671
-0.5367,0.1992,0.7689,0.2843,-0.2542,0.4352,0.6613,0.5554,4.683996848,87.527505758,58.01889562
-0.5354,0.1999,0.7691,0.2859,-0.2539,0.4301,0.669,0.5503,4.7743363408,87.4131821416,57.7950606144
-0.5339,0.1992,0.7699,0.2869,-0.2537,0.4238,0.6723,0.5512,4.3149301548,86.8999706556,57.9283140404
-0.5344,0.1981,0.7698,0.2868,-0.2539,0.423,0.6707,0.5536,4.11595053,87.234605648,57.101333262
-0.5354,0.1976,0.7695,0.2864,-0.2531,0.4247,0.6675,0.5567,4.450884731,87.104154435,57.0619106342
-0.5382,0.1981,0.7675,0.286,-0.2476,0.4407,0.647,0.5706,4.5076094872,86.9836184358,57.8906680462
-0.5388,0.1991,0.7668,0.2861,-0.2585,0.4386,0.6464,0.5681,4.758059341,86.1186202304,59.4244907698
-0.5389,0.1995,0.7667,0.286,-0.2737,0.4255,0.6684,0.5451,4.74714825,86.13556298,59.31649255
-0.5397,0.1995,0.7665,0.2849,-0.3101,0.3712,0.727,0.4871,4.211567984,84.9358930336,60.8719988888
-0.5393,0.2009,0.7659,0.2864,-0.3206,0.3455,0.7446,0.4724,3.7266477422,83.926264144,62.1878974242
-0.5402,0.2011,0.7653,0.2861,-0.3242,0.3438,0.7501,0.4624,3.852385059,83.9451199576,62.0583235158
-0.5401,0.2005,0.7661,0.2846,-0.324,0.3482,0.7498,0.4598,3.745333656,83.4437148244,63.0787170192
-0.5401,0.2004,0.7664,0.2841,-0.3246,0.3486,0.7482,0.4616,4.4473408936,83.5079398928,63.4002772512
-0.5414,0.2005,0.7656,0.2835,-0.3289,0.3509,0.7468,0.4591,4.5895065608,83.431012709,63.1926723094
-0.5423,0.2009,0.7651,0.2827,-0.3303,0.377,0.7265,0.47,5.6997678384,84.437002782,62.7075320612
-0.542,0.2,0.7659,0.2817,-0.3286,0.3851,0.7207,0.4733,6.3533839312,85.1002523548,61.8412503344
-0.5416,0.199,0.7666,0.2814,-0.3143,0.4079,0.7028,0.4905,6.3534603236,84.8912906532,61.8520770148
-0.541,0.1975,0.7677,0.2809,-0.2667,0.4472,0.6554,0.5469,6.2010253684,86.6146034532,59.9933017316
-0.541,0.1975,0.7677,0.2809,-0.2667,0.4472,0.6554,0.5469,6.0989270048,87.5003950104,58.2279061848
-0.5385,0.1964,0.7695,0.2813,-0.2643,0.4379,0.672,0.5354,6.3781632034,87.211827508,58.3712204826
-0.5386,0.1954,0.7698,0.2808,-0.2751,0.4267,0.689,0.5171,6.3205360478,88.216224914,56.9763198438
-0.5382,0.1948,0.7704,0.2806,-0.2777,0.4257,0.6926,0.5117,6.2874428102,88.9115539484,55.07604517
-0.5375,0.1945,0.7711,0.2803,-0.2806,0.4249,0.6949,0.5076,6.3692505804,88.6948853298,55.160900319
-0.5361,0.1953,0.7711,0.2822,-0.2783,0.4238,0.6878,0.5194,6.2740435044,88.6235566576,54.679716944
-0.5361,0.1953,0.7711,0.2822,-0.2783,0.4238,0.6878,0.5194,5.7193589706,88.0857231676,55.508620202
-0.5375,0.1947,0.7708,0.2811,-0.27,0.4318,0.6657,0.5452,5.904552314,88.30030919,55.2899813084
-0.5418,0.1949,0.7681,0.2797,-0.27,0.4361,0.6591,0.5498,5.764529874,87.90341469,56.6261366744
-0.5411,0.1959,0.768,0.2806,-0.2924,0.4143,0.686,0.5216,5.5646510964,86.509662362,59.2533599016
-0.5407,0.1963,0.7682,0.2808,-0.3123,0.3897,0.7117,0.4939,5.5137699816,86.4712453216,59.2294094888
-0.5416,0.1949,0.7687,0.2786,-0.3065,0.409,0.6967,0.5032,5.5245588624,85.89729656,60.8118588496
-0.5419,0.1948,0.7681,0.2796,-0.2944,0.4221,0.6819,0.5195,5.8759023382,87.0174985056,59.3186673978
-0.5422,0.1941,0.7684,0.2788,-0.2758,0.4368,0.6607,0.5445,6.1574848106,86.6941322016,59.3207720286
-0.5412,0.1929,0.77,0.2772,-0.2688,0.4268,0.6775,0.5351,6.1057340464,87.7970095044,58.1654251632
-0.5402,0.1925,0.7706,0.2778,-0.2766,0.4185,0.6903,0.5211,6.0980358684,89.121062179,55.8695556194
-0.5395,0.192,0.7711,0.2781,-0.2801,0.4142,0.6974,0.5133,6.1982983436,88.9419755076,55.732221132
-0.538,0.1915,0.7723,0.2781,-0.2834,0.4108,0.7014,0.5087,6.0829176988,89.329322644,54.135632658
-0.5361,0.1911,0.7735,0.2785,-0.2856,0.4022,0.7111,0.5008,6.0471896742,89.2772487426,52.9816403094
-0.5363,0.1909,0.7736,0.2781,-0.2866,0.3969,0.7147,0.4993,6.0311884242,89.348754426,53.0393926102
-0.5353,0.1915,0.7739,0.2786,-0.2858,0.3973,0.7135,0.5013,6.028411413,89.1516570802,52.6028892182
-0.5352,0.193,0.7732,0.2798,-0.2801,0.4025,0.7021,0.5161,5.8517615452,88.4947946732,54.1804482692
-0.5371,0.1937,0.7719,0.2795,-0.273,0.4118,0.6851,0.5351,6.0015033816,88.8462746476,53.7870200284
-0.54,0.1932,0.7708,0.277,-0.2669,0.4224,0.6682,0.551,6.077633047,88.411113268,55.6413362926
-0.5385,0.1971,0.7705,0.2781,-0.2738,0.4176,0.6798,0.5369,5.8895455786,86.973724084,58.3043423302
-0.5385,0.1986,0.7704,0.2774,-0.3184,0.3616,0.7425,0.4651,5.86406244,87.1181448016,58.0711134416
-0.5408,0.1991,0.7697,0.2742,-0.3431,0.3229,0.7655,0.4379,5.579790232,85.5299731136,61.2013002416
-0.5388,0.2047,0.7698,0.2739,-0.3392,0.3414,0.7479,0.4569,4.9497019352,84.1701819984,62.7197227424
-0.5394,0.2045,0.7703,0.2715,-0.3372,0.3493,0.7412,0.4633,4.5822251888,84.0916780912,62.721680312
-0.541,0.2017,0.7721,0.2652,-0.3366,0.3524,0.7398,0.4638,4.9273466216,84.0856667784,62.8224195824
-0.5417,0.2008,0.7737,0.2598,-0.3401,0.3562,0.7354,0.4653,5.6693724776,85.0842399732,61.7218338624
-0.5419,0.2009,0.7732,0.2605,-0.3514,0.3414,0.7492,0.4454,5.4180532176,84.7548265862,62.471850873
-0.5427,0.1992,0.7735,0.2595,-0.3602,0.3287,0.7605,0.4285,6.5008029736,86.9537772698,60.0928668738
-0.5422,0.1997,0.7739,0.2591,-0.3597,0.3369,0.7591,0.4251,7.2794571366,88.0286885688,59.048601611
-0.5424,0.1998,0.7739,0.2586,-0.3549,0.3461,0.7544,0.4301,6.9984894432,87.757113448,59.7073697864
-0.5422,0.2009,0.7737,0.2587,-0.3565,0.341,0.7581,0.4263,7.3820153184,87.633219744,59.7858245168
-0.5399,0.2055,0.773,0.2618,-0.3593,0.3367,0.7588,0.426,6.534632003,84.6509950542,62.8447389316
-0.539,0.2073,0.7725,0.264,-0.3482,0.3604,0.7324,0.4608,6.619741862,85.140800661,62.179154385
-0.5388,0.2081,0.7721,0.2648,-0.3385,0.3753,0.7208,0.4741,5.5807157428,81.44017493,65.5202782756
-0.5408,0.2085,0.7713,0.2626,-0.3378,0.3841,0.7131,0.4792,5.6318756224,79.8370251154,65.8711812634
-0.5401,0.2109,0.7705,0.2645,-0.3351,0.3916,0.703,0.4899,6.0130706634,80.030542677,65.7815166612
-0.5388,0.2133,0.7705,0.265,-0.3347,0.3938,0.6995,0.4934,6.6436033854,77.661367231,67.0206323532
-0.5395,0.213,0.771,0.2626,-0.3372,0.3938,0.7003,0.4905,7.3157329844,79.871576942,65.3243901208
-0.5399,0.2106,0.7727,0.2586,-0.3435,0.391,0.7023,0.4856,6.9968648492,79.3089392836,65.8416795832
-0.5384,0.2102,0.774,0.2583,-0.3504,0.3793,0.7117,0.476,7.7004818,83.7474739984,63.3387276608
-0.5401,0.2081,0.7742,0.256,-0.3702,0.3452,0.7518,0.4224,8.445041529,86.4788546328,60.7835006944
-0.5404,0.2077,0.7739,0.2564,-0.371,0.3441,0.7503,0.4252,8.4819183246,85.9087601218,61.42009841
-0.5409,0.2066,0.7739,0.2564,-0.371,0.3426,0.7528,0.422,8.8112969922,87.5342085406,59.832687366
-0.5386,0.2094,0.7744,0.2572,-0.3659,0.3408,0.7578,0.419,8.3568273814,87.0563955754,59.9207054016
-0.5381,0.2111,0.7746,0.2563,-0.3644,0.3385,0.7615,0.4154,8.296136394,86.903573088,60.482832585
-0.5353,0.2163,0.7741,0.2596,-0.3607,0.3517,0.7468,0.4338,8.16438399,83.4143168952,63.5370378006
-0.5355,0.2157,0.7744,0.2583,-0.3342,0.3901,0.7133,0.4766,7.1568473784,80.0777592312,65.9376040404
-0.5367,0.2147,0.7742,0.2576,-0.3336,0.3917,0.7102,0.4803,6.8074805402,80.0658982454,65.7758158208
