S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
0.0639,0.1176,0.9227,0.3615,0.2767,0.1028,0.6973,0.653,-4.5127538128,82.0377820088,61.1792124208
0.0721,0.1093,0.9156,0.38,0.2828,0.104,0.6989,0.6485,-4.7447795436,81.517007461,63.445952329
0.0767,0.105,0.9095,0.3947,0.2887,0.1149,0.7007,0.6421,-3.0996481004,80.29828645,65.2085041384
0.0794,0.1027,0.9055,0.4038,0.2888,0.119,0.6953,0.6472,-1.8911797924,82.0616648256,63.0951251672
0.0868,0.0974,0.8989,0.4182,0.2918,0.1165,0.6536,0.6884,-1.160543618,78.780147402,66.448069774
0.0891,0.0937,0.8942,0.4285,0.2894,0.104,0.6086,0.7313,0.0710644672001,78.0473740372,66.3884075418
0.0948,0.0913,0.8889,0.4385,0.2955,0.0867,0.5618,0.7677,0.7800468112,79.5191776504,64.167641928
0.0991,0.088,0.8848,0.4466,0.2924,0.058,0.5026,0.8114,0.9678391512,77.3652147764,66.009941948
0.1009,0.0844,0.8806,0.4551,0.2946,0.059,0.4868,0.8201,1.882882407,76.78764422,65.277372776
0.1024,0.0824,0.8772,0.4616,0.2981,0.0718,0.4878,0.8172,2.3792666128,77.9488560012,63.275425588
0.1076,0.0793,0.8739,0.4672,0.3066,0.0894,0.5008,0.8044,2.5210269004,76.6344141026,64.002348499
0.1098,0.0789,0.8711,0.4719,0.3027,0.0966,0.5183,0.7939,3.497989454,76.5286209344,62.1099172516
0.1105,0.0772,0.8692,0.4755,0.2992,0.1,0.5311,0.7863,3.7380159792,77.312186512,60.5879698664
0.1124,0.0755,0.8648,0.4833,0.3047,0.107,0.5429,0.7751,4.5412868544,76.076593664,60.4213395488
0.1129,0.0736,0.8645,0.4841,0.3077,0.1101,0.5462,0.7711,5.0233045426,75.8217969384,58.5113433802
0.113,0.0729,0.8643,0.4844,0.3028,0.1077,0.551,0.77,4.8445485876,76.3843120314,57.2516414718
0.1114,0.0723,0.8645,0.4846,0.3031,0.1077,0.5444,0.7745,5.3281334388,75.8765518122,56.8586989782
0.1092,0.0713,0.8649,0.4846,0.3032,0.107,0.5422,0.7761,5.5580225336,76.0461091412,56.0626803816
0.1096,0.0714,0.8652,0.4838,0.3038,0.1065,0.5418,0.7764,5.3649387348,76.2035765088,55.5937348356
0.1124,0.074,0.8647,0.4838,0.3041,0.1077,0.5412,0.7764,5.2641696828,76.3252159264,55.4012798012
0.1099,0.0778,0.8656,0.4822,0.2993,0.1091,0.5424,0.7773,4.924664184,76.879526515,56.067992535
0.1092,0.0816,0.8673,0.4786,0.2954,0.1044,0.5388,0.7819,4.787968808,76.7831962686,57.179399667
0.1064,0.0911,0.8743,0.4646,0.2971,0.0838,0.515,0.7996,3.6748098248,78.3972387288,57.2066296424
0.0993,0.0961,0.8781,0.4579,0.2889,0.0592,0.5128,0.8062,2.8343979452,79.4667591564,59.1552357438
0.0953,0.0988,0.8796,0.4553,0.2839,0.0508,0.5397,0.7908,2.6892313118,77.8729123538,61.7463702656
0.0916,0.1012,0.8823,0.4502,0.2878,0.0633,0.6062,0.7386,1.2305944918,79.9958022858,60.9621636116
0.0924,0.1051,0.8901,0.4335,0.3128,0.1138,0.6787,0.6546,-1.3441263236,80.2445124514,61.7756403244
0.0909,0.1065,0.8923,0.4291,0.3157,0.1176,0.6803,0.6508,-0.8247851086,78.5036551976,64.6424869568
0.0882,0.1097,0.8938,0.4255,0.3139,0.1151,0.6804,0.652,-1.8097350986,79.5545813976,64.0204120292
0.0842,0.116,0.8949,0.4224,0.306,0.108,0.6828,0.6545,-1.4811329436,79.0704290496,64.9484484904
0.0833,0.1179,0.8956,0.4206,0.3043,0.1041,0.6791,0.6597,-2.0396958516,78.2336706846,65.5004347706
0.0806,0.1199,0.897,0.4176,0.301,0.1017,0.6704,0.6704,-1.8825264354,78.7360161634,65.0960852472
0.0789,0.124,0.8992,0.4119,0.3002,0.103,0.6699,0.6711,-3.09566168,78.158241124,64.4626985808
0.0789,0.1251,0.9003,0.4092,0.3009,0.1024,0.6703,0.6704,-3.4374963204,77.198683966,65.279798605
0.078,0.1265,0.9018,0.4057,0.2998,0.1005,0.6698,0.6717,-3.7845291624,77.3005968352,64.0667279248
0.0771,0.1296,0.904,0.3999,0.3002,0.0996,0.6645,0.6769,-4.147823586,76.6253917068,63.0267419022
0.0774,0.1309,0.9047,0.3978,0.3006,0.0989,0.662,0.6793,-4.175250288,75.921655675,63.956552899
0.0952,0.1213,0.8865,0.4361,0.3008,0.1169,0.6607,0.6776,-0.56436489,75.7671709504,67.562329112
0.0985,0.1198,0.8862,0.4364,0.3055,0.123,0.6686,0.6666,-0.4141935686,75.2718658622,68.7687499034
0.1018,0.1159,0.8846,0.4399,0.3123,0.125,0.663,0.6687,-0.5119863,75.8665938592,67.2437830676
0.1027,0.1093,0.8787,0.453,0.3095,0.1177,0.6289,0.7033,0.1160902796,77.047045364,66.1870010328
0.1053,0.1079,0.8767,0.4566,0.3158,0.0999,0.5777,0.7459,0.9043995404,75.518107314,67.7539059012
0.1074,0.1062,0.8742,0.4613,0.317,0.0825,0.5408,0.7746,1.7896947126,75.5488241462,66.656717245
0.1076,0.1012,0.8679,0.4741,0.3112,0.0554,0.4629,0.8281,1.6561562808,76.6168223196,65.0549403
0.109,0.0974,0.8656,0.4788,0.3101,0.0716,0.4735,0.8211,2.3949051228,75.4594509136,65.411033834
0.1101,0.0961,0.8655,0.479,0.3108,0.078,0.4922,0.8093,2.6293709454,75.61309191,63.9479194574
0.1113,0.091,0.8631,0.484,0.3076,0.0924,0.5147,0.7949,2.7685854304,76.2169558548,62.8346488844
0.1124,0.0892,0.8623,0.4854,0.3058,0.0968,0.5288,0.7857,2.9188993652,76.2194300584,62.2753992684
0.1134,0.0867,0.8616,0.4869,0.2998,0.1005,0.5481,0.7742,4.0503638078,78.3838404114,58.8910458072
0.1128,0.0822,0.8605,0.4896,0.2997,0.1101,0.5673,0.759,4.1044991488,78.7251540736,57.4457654528
0.1005,0.0822,0.8754,0.4654,0.3005,0.0772,0.5404,0.782,4.1044991488,78.7251540736,58.2474032104
0.0941,0.0848,0.8793,0.4589,0.2893,0.045,0.5229,0.8004,0.619940227,79.4300511558,58.2474032104
0.0786,0.0875,0.8876,0.4451,0.2828,0.0447,0.6331,0.7191,-0.8128433096,81.1474770322,59.72993962
0.0745,0.0895,0.8923,0.436,0.2998,0.0963,0.6898,0.6518,-1.4468023282,79.4984901134,61.9615235634
0.0687,0.0929,0.9027,0.4143,0.3022,0.1072,0.6966,0.6417,-3.2865312856,81.9062931544,59.9292603784
0.0641,0.0944,0.9025,0.4152,0.2958,0.1013,0.6956,0.6467,-4.5311444148,81.5601285664,61.271490607
0.0624,0.0969,0.9036,0.4124,0.2944,0.0985,0.6908,0.6528,-4.7341161644,80.2148728846,62.771595393
0.0525,0.1018,0.9041,0.4114,0.2874,0.0965,0.6815,0.6659,-4.3701964992,80.91085468,62.1634057088
0.0496,0.1065,0.9055,0.4076,0.2849,0.1007,0.6808,0.6671,-3.9540143034,80.532097743,62.4915345608
0.0474,0.1095,0.9061,0.4058,0.2832,0.1021,0.682,0.6664,-5.747521788,79.8402219252,62.6244885728
0.041,0.115,0.9071,0.4025,0.2802,0.1071,0.6859,0.6629,-4.4209374768,80.1256421904,61.9572564848
0.0371,0.1185,0.907,0.4022,0.2764,0.1105,0.6873,0.6624,-4.9730699536,80.105439589,61.5155883622
0.0352,0.1203,0.9073,0.4011,0.2746,0.1154,0.6871,0.6626,-6.165899332,79.4501449836,61.8860802044
0.0307,0.1209,0.908,0.3999,0.2694,0.1184,0.6881,0.6631,-4.901462028,79.9297954692,61.5827846452
0.0308,0.1196,0.9094,0.397,0.2678,0.1181,0.6896,0.6623,-5.526866644,79.9530370888,61.2415017788
0.0323,0.1174,0.9094,0.3976,0.2642,0.1152,0.692,0.6618,-6.1022125592,79.8464311556,61.340683306
0.0325,0.1073,0.9075,0.4047,0.2585,0.1115,0.6859,0.6708,-6.5412524592,80.1393232856,61.655875776
0.0341,0.1051,0.9027,0.4157,0.2561,0.1109,0.6815,0.6764,-6.0207562904,79.547027116,64.5510036048
0.0374,0.1039,0.9005,0.4205,0.2558,0.1155,0.6819,0.6754,-5.4981700748,80.86353395,63.1223762852
0.0374,0.0974,0.8934,0.4368,0.2526,0.126,0.6747,0.6818,-4.5922076906,78.580997275,65.9679586844
0.0411,0.0957,0.8867,0.4503,0.2503,0.1262,0.6654,0.6918,-2.521489177,76.701847019,68.089832842
0.0439,0.0935,0.8837,0.4564,0.2484,0.1272,0.6533,0.7036,-2.5238977264,78.244841232,66.2804217584
0.0481,0.0895,0.8748,0.4736,0.2417,0.1151,0.6159,0.7408,-1.3906350748,75.0725969256,69.6149205436
0.0526,0.0885,0.8693,0.4832,0.2441,0.1104,0.5901,0.7615,-0.958832094,74.2830661354,68.9868705228
0.0541,0.0867,0.8652,0.4907,0.2415,0.1011,0.5537,0.7904,-0.2135610192,75.7831772178,67.2916385976
0.0578,0.0839,0.8589,0.5018,0.2437,0.0881,0.5192,0.8143,0.4510919172,72.8798225034,69.7104397446
0.0668,0.0822,0.852,0.5126,0.2489,0.0922,0.4868,0.8321,0.5678731864,72.9932263512,67.4963614916
0.0679,0.082,0.8508,0.5145,0.2556,0.1021,0.5194,0.8089,1.4907194712,74.4394431648,65.0073521044
0.0687,0.0837,0.8483,0.5181,0.2581,0.1103,0.536,0.796,1.400231692,73.7259864258,63.2007186254
0.0697,0.0848,0.8454,0.5225,0.263,0.1182,0.5521,0.7822,3.343196944,73.880175161,60.924925372
0.0686,0.0858,0.8461,0.5213,0.2623,0.1213,0.5526,0.7816,3.141646213,74.262777055,59.84651234
0.0696,0.0901,0.8518,0.5112,0.2594,0.124,0.5532,0.7817,4.282774981,73.7189133106,58.7111340068
0.0698,0.0912,0.8532,0.5087,0.2588,0.1259,0.5545,0.7808,4.699253978,73.5390872268,57.5353624576
0.0679,0.0906,0.8529,0.5095,0.2581,0.1275,0.556,0.7796,4.336781722,73.938402766,57.046841664
0.0687,0.0888,0.8511,0.5126,0.2602,0.1254,0.5522,0.782,4.6239852826,73.5203509266,56.8892183298
0.0705,0.0868,0.8505,0.5139,0.2629,0.1226,0.5471,0.7851,4.1016544632,73.8439806964,56.6704934252
0.0654,0.0844,0.8491,0.5172,0.2647,0.1189,0.5369,0.7921,4.2290647464,74.1030654704,56.9777796548
0.0641,0.0841,0.8493,0.517,0.2621,0.1144,0.5316,0.7971,2.5026451484,74.9106728376,57.75957284
0.0623,0.0886,0.8609,0.4971,0.2603,0.0913,0.5059,0.8172,1.5546440034,76.1611189112,59.522719857
0.0585,0.0894,0.869,0.4829,0.2506,0.0573,0.4949,0.83,2.0587175332,75.1863364096,61.352068886
0.0529,0.0883,0.8717,0.4791,0.2467,0.0567,0.5631,0.7865,0.2267896532,77.9224187264,61.6190727904
0.0472,0.0899,0.8771,0.4692,0.2724,0.1152,0.6556,0.6947,-2.7600521232,78.2348350864,63.15777228
0.0465,0.0941,0.8831,0.4572,0.2776,0.1174,0.6534,0.6943,-2.3429664876,76.3099414068,65.670159716
0.0447,0.0959,0.8854,0.4525,0.2728,0.1132,0.65,0.7001,-3.7811886178,77.3216073104,65.207412323
0.0351,0.0983,0.8865,0.4507,0.2634,0.1036,0.6414,0.713,-3.6001974874,77.088626823,65.847587004
0.0349,0.1014,0.8881,0.4467,0.2639,0.104,0.6395,0.7144,-3.931538416,76.3359451864,66.4113469328
0.0343,0.1033,0.8892,0.4442,0.2636,0.1062,0.6423,0.7117,-3.9741824878,76.7862793094,65.4780831376
0.03,0.1098,0.8912,0.4388,0.2634,0.1094,0.6522,0.7022,-4.283440992,76.8646590792,65.1067008608
0.0292,0.1127,0.8942,0.432,0.2644,0.1099,0.6541,0.7,-4.8964454426,76.1107140638,65.306452281
0.0272,0.1161,0.8952,0.4293,0.2634,0.1121,0.6564,0.6979,-4.7439655486,77.2320514708,63.516316706
0.0269,0.1207,0.8976,0.4229,0.2617,0.1164,0.657,0.6973,-5.0702502494,77.0143420048,62.8357230062
0.0278,0.1217,0.8983,0.4212,0.2617,0.1172,0.6577,0.6964,-5.5043875504,76.1823221604,63.6879100692
0.0284,0.1211,0.8999,0.4177,0.2624,0.1177,0.6593,0.6946,-5.2524594608,76.7189207608,62.5199824444
0.0284,0.1202,0.9003,0.4172,0.2612,0.117,0.6604,0.6942,-5.9800029804,76.6328097456,62.3092168724
0.0296,0.1181,0.9012,0.4158,0.2597,0.1158,0.6604,0.695,-5.5310660618,76.5929565526,62.952358042
0.0319,0.1171,0.9008,0.4167,0.2513,0.1143,0.6589,0.6995,-5.758602252,76.475207164,63.22225348
0.0319,0.1171,0.9008,0.4167,0.2513,0.1143,0.6589,0.6995,-4.130280917,75.6271143874,65.3437296792
0.0356,0.1161,0.8965,0.4259,0.2476,0.1166,0.6477,0.7109,-3.6614121864,76.2660018054,64.97746179
0.0381,0.1172,0.8912,0.4364,0.2451,0.1221,0.6409,0.717,-1.7782131932,75.539849526,67.7310145294
0.044,0.1166,0.8839,0.4506,0.2451,0.1284,0.6365,0.7198,-0.3674662968,75.7153937976,67.6759901028
