S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.4851,0.1636,0.8059,0.2971,-0.2214,0.3581,0.706,0.5693,-6.222600972,79.399479957,66.549032661
-0.4824,0.1634,0.8071,0.2984,-0.2184,0.3591,0.7048,0.5714,-6.3900173432,78.8350318252,66.9816155532
-0.4802,0.1641,0.8075,0.3004,-0.2159,0.3601,0.7037,0.573,-5.47473304,78.682300863,67.671896441
-0.4774,0.1649,0.8082,0.3025,-0.2122,0.3627,0.7012,0.5758,-6.02398744,78.012074385,67.973748815
-0.4733,0.1662,0.8093,0.3052,-0.2069,0.3671,0.6968,0.5802,-5.3324871752,77.4168044456,69.089462334
-0.4718,0.1671,0.8096,0.3065,-0.2045,0.369,0.6954,0.5816,-4.7535379764,77.5170397656,68.9969713432
-0.47,0.1693,0.8091,0.3093,-0.202,0.3724,0.6931,0.583,-4.6002848088,76.6423178416,69.7481531168
-0.4691,0.1713,0.8083,0.3117,-0.1998,0.3768,0.6903,0.5842,-3.971293128,76.3454420924,70.239866672
-0.4688,0.1713,0.8084,0.312,-0.1993,0.378,0.6892,0.585,-3.981004126,76.445447888,70.166926131
-0.4682,0.1707,0.8088,0.312,-0.199,0.3792,0.6887,0.5848,-4.132685575,76.6404563256,70.0454181332
-0.4641,0.1719,0.8093,0.3162,-0.1964,0.3806,0.6861,0.5879,-4.35359799,75.87957995,70.47761834
-0.4606,0.1731,0.8095,0.3199,-0.194,0.3816,0.6857,0.5886,-3.860317149,75.924933528,70.8559550642
-0.4593,0.1732,0.8096,0.3216,-0.1912,0.3827,0.6853,0.5893,-4.4092114208,74.8398992642,71.5927136758
-0.4577,0.173,0.8089,0.3256,-0.189,0.3844,0.6846,0.5897,-4.245599686,74.321502362,72.0941637
-0.4563,0.1726,0.809,0.3276,-0.189,0.3845,0.6847,0.5894,-3.870266293,74.6343451804,72.0529147498
-0.4555,0.1723,0.8093,0.3284,-0.1884,0.3842,0.6848,0.5897,-4.3201285432,74.2498115758,72.319664577
-0.4531,0.1737,0.8085,0.3328,-0.1871,0.3856,0.6834,0.5907,-3.9423881654,73.5534432824,72.652915649
-0.4514,0.1755,0.8068,0.3379,-0.185,0.388,0.682,0.5915,-3.677405383,73.7981018852,72.8255984274
-0.4497,0.177,0.8059,0.3419,-0.1837,0.3901,0.6822,0.5903,-3.325396872,72.5964824448,73.6193204456
-0.4462,0.1786,0.8041,0.3495,-0.1824,0.3892,0.6867,0.5861,-3.0731437912,72.9347128816,73.963138296
-0.4434,0.1787,0.8032,0.3552,-0.1741,0.3916,0.6828,0.5916,-2.955132353,73.487972386,73.274475565
-0.4404,0.1799,0.8021,0.3606,-0.1606,0.403,0.6597,0.6135,-2.951911467,73.5853013212,73.3558181126
-0.4367,0.1808,0.8022,0.3646,-0.1536,0.4066,0.6373,0.6362,-2.712187136,74.25728411,72.4066696
-0.4317,0.182,0.8024,0.3696,-0.12,0.4231,0.587,0.6795,-2.6492203896,74.7119148424,71.2575031056
-0.427,0.184,0.8015,0.3759,-0.1091,0.4345,0.5758,0.6838,-2.4085254668,75.2804741664,70.5469364764
-0.4248,0.1857,0.8006,0.3795,-0.1094,0.4332,0.5918,0.6708,-1.5971199586,74.9858045702,69.124974639
-0.4219,0.1864,0.8007,0.382,-0.1126,0.4266,0.6112,0.6569,-1.4949553378,75.334884635,68.2528135752
-0.4199,0.1871,0.7999,0.3856,-0.1192,0.4214,0.6231,0.6479,-1.3261366544,75.151216486,67.0870247106
-0.4183,0.1879,0.7992,0.3883,-0.1226,0.4185,0.6295,0.6429,-1.0104020154,74.92649398,65.5415350238
-0.4163,0.1888,0.799,0.3906,-0.128,0.4119,0.6379,0.6378,-0.6811574144,75.3149024714,65.316397815
-0.4168,0.1872,0.7999,0.3889,-0.1301,0.4083,0.6386,0.639,-0.8697214496,74.8780819458,64.1240389894
-0.4166,0.1872,0.7993,0.3902,-0.1288,0.4089,0.637,0.6405,-0.7635845416,75.034139024,63.2262485076
