S8_w,S8_x,S8_y,S8_z,S11_w,S11_x,S11_y,S11_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
-0.3499,0.1472,0.7371,0.559,-0.393,0.2878,0.6087,0.626,-0.3482,0.1348,0.9162,-0.145,-0.2905,0.1884,0.8541,0.3878,0.853004982,-0.505683869,0.048361056,-0.119697672,-17.47544205,-6.732921842,-0.485339918
-0.3341,0.1328,0.7368,0.5725,-0.3766,0.3013,0.6416,0.5963,-0.3549,0.153,0.9184,-0.0839,-0.291,0.1795,0.8555,0.3887,0.85218885,-0.50550275,0.049428503,-0.125689923,-10.81790055,-4.647179887,-0.320042006
-0.3181,0.1271,0.7367,0.5829,-0.3669,0.3156,0.6622,0.5719,-0.3668,0.1707,0.9142,-0.02,-0.2911,0.1725,0.8599,0.3821,0.896270277,-0.421816298,0.031508799,-0.133333408,-3.484967192,-1.580615324,0.048087665
-0.3056,0.1153,0.7485,0.5769,-0.364,0.3208,0.681,0.5483,-0.3645,0.1854,0.9109,0.0538,-0.2995,0.1639,0.8607,0.3775,0.927891116,-0.346168984,0.019747009,-0.137095464,4.614877879,-0.317878071,1.627106858
-0.2957,0.1033,0.7609,0.5681,-0.3645,0.3181,0.6985,0.527,-0.3509,0.1948,0.9082,0.1186,-0.3084,0.1473,0.8665,0.3637,0.967060305,-0.219169967,0.029414792,-0.126070067,12.37158957,-0.723596897,3.483560243
-0.2881,0.0917,0.7725,0.5582,-0.359,0.317,0.7164,0.5073,-0.3292,0.207,0.9052,0.1707,-0.3093,0.1386,0.8713,0.3547,0.973752451,-0.1885261,0.034741475,-0.122707394,18.61851952,-2.395918187,4.265455277
-0.28,0.0879,0.7784,0.5548,-0.3558,0.3175,0.7282,0.4921,-0.3086,0.2224,0.8983,0.2199,-0.3175,0.1259,0.8757,0.3412,0.987691551,-0.082177573,0.063169239,-0.117140489,25.27088869,-3.686727926,4.438454951
-0.2767,0.0823,0.7867,0.5455,-0.35,0.3195,0.7413,0.4749,-0.2998,0.2448,0.8837,0.2631,-0.3175,0.1203,0.8813,0.3284,0.987805694,-0.079645421,0.062294963,-0.118388582,31.00645275,-3.161894728,3.548918486
-0.2759,0.0792,0.7935,0.5364,-0.3469,0.3217,0.7485,0.4644,-0.2894,0.266,0.8739,0.2857,-0.3192,0.1169,0.8855,0.3166,0.987894281,0.027390591,0.073512223,-0.133830481,34.55013326,-3.221651765,2.023113909
-0.2785,0.0792,0.7949,0.5331,-0.3459,0.3235,0.7543,0.4545,-0.2914,0.279,0.8658,0.2958,-0.3198,0.1172,0.8881,0.3085,0.98801021,0.031191061,0.072420734,-0.132733495,36.01507379,-2.085133876,1.262226084
-0.2832,0.0773,0.7935,0.533,-0.3504,0.3193,0.755,0.453,-0.2984,0.2785,0.8653,0.2907,-0.3239,0.1151,0.8873,0.3071,0.98594599,0.048073772,0.067580757,-0.145025027,34.52923712,-1.472449233,1.378463842
-0.2834,0.0813,0.7903,0.5369,-0.3548,0.3132,0.7493,0.463,-0.2985,0.2682,0.8754,0.2692,-0.319,0.1146,0.8887,0.3086,0.986467081,0.037983813,0.065162427,-0.14558086,32.03013739,-2.493714946,1.502011651
