S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3956,0.1749,0.8491,0.3031,-0.2603,0.4071,0.7669,0.4222,33.310566092,77.0553018186,53.975949321
-0.3924,0.1749,0.8475,0.3114,-0.2639,0.4049,0.764,0.4273,34.0231184324,77.3539461298,54.151821045
-0.3914,0.1708,0.8474,0.3153,-0.276,0.3993,0.765,0.4232,33.521543148,76.558930827,54.9175051086
-0.3914,0.1696,0.8477,0.315,-0.2824,0.397,0.7658,0.4196,33.8050100058,77.2472920628,55.0729294918
-0.388,0.1684,0.849,0.3164,-0.2846,0.3937,0.7682,0.4166,34.711742132,76.4038561784,55.5871214832
-0.386,0.1625,0.8502,0.3187,-0.2971,0.3857,0.7886,0.3755,34.120108909,77.076446319,55.555715132
-0.386,0.1625,0.8502,0.3187,-0.2971,0.3857,0.7886,0.3755,35.1571337658,78.540127903,56.6540436814
-0.3853,0.1593,0.8518,0.317,-0.2962,0.3792,0.802,0.3538,35.5144202048,76.96097938,57.283359242
-0.3754,0.163,0.8521,0.3261,-0.3103,0.3863,0.7922,0.356,35.548645032,80.4551209042,56.9278514858
-0.3752,0.1636,0.8513,0.328,-0.3101,0.3905,0.7855,0.3662,36.156709843,79.313954358,57.599017671
-0.3713,0.1629,0.8518,0.3316,-0.3124,0.3864,0.7763,0.3876,36.340832772,78.6965113976,56.9157858492
-0.3749,0.1629,0.8511,0.3292,-0.2957,0.3799,0.7789,0.4017,36.2259394266,78.7065042622,56.913971989
-0.3829,0.1577,0.8524,0.3189,-0.3088,0.3527,0.814,0.3427,35.365143172,80.3644250264,55.8470966208
-0.3886,0.1492,0.8555,0.3077,-0.3026,0.3523,0.8059,0.367,34.98136041,80.2802293404,56.4808027692
-0.3909,0.1454,0.8569,0.3024,-0.304,0.3549,0.8005,0.375,34.6118962648,80.9194216256,53.822811504
-0.3921,0.1441,0.857,0.3015,-0.3021,0.3637,0.7904,0.3894,34.3648883042,80.4421125104,52.0711056934
-0.3935,0.1423,0.858,0.2977,-0.2929,0.3682,0.7857,0.4014,33.708537688,80.5116590322,53.184779103
-0.3949,0.1397,0.8593,0.2932,-0.2894,0.3677,0.7857,0.4045,34.015116704,80.0359546994,51.4656496748
-0.3955,0.1387,0.8593,0.2927,-0.2835,0.3684,0.7842,0.4109,33.217536723,80.5087749498,50.729710253
-0.395,0.1326,0.8613,0.2904,-0.2794,0.3617,0.7851,0.4177,32.4129648488,80.6738289556,51.96902581
-0.395,0.1326,0.8613,0.2904,-0.2794,0.3617,0.7851,0.4177,31.7597926066,80.8919580822,51.099839741
-0.3937,0.1273,0.8631,0.2894,-0.2756,0.3538,0.7863,0.4246,30.6513341056,81.5451333392,51.0565913904
-0.3959,0.121,0.8638,0.2871,-0.2819,0.3406,0.7924,0.4199,30.7977840156,81.297049054,51.9084471592
-0.3986,0.115,0.8645,0.2836,-0.2874,0.3345,0.7954,0.4154,30.3627252702,82.607991033,50.8475271564
-0.3994,0.113,0.8646,0.283,-0.2971,0.3255,0.8005,0.4058,29.7778007332,84.1403483484,50.1745287796
-0.3963,0.1115,0.8663,0.2828,-0.3183,0.3077,0.8154,0.3728,29.4312422528,83.469715434,51.1005353304
-0.3948,0.1127,0.8659,0.2857,-0.3238,0.3032,0.8209,0.3594,29.2733618134,84.919774339,50.7639339682
-0.3944,0.1142,0.8646,0.2891,-0.3258,0.3016,0.8253,0.3488,29.6155675984,85.0572749312,52.119384274
-0.3904,0.1188,0.8623,0.2996,-0.3189,0.3106,0.8256,0.3464,29.58959264,84.7098135742,52.5858929178
-0.3864,0.1204,0.8614,0.3067,-0.3159,0.3149,0.8267,0.3428,30.1932974934,84.285361374,54.2169294446
-0.3833,0.121,0.8607,0.312,-0.3245,0.3129,0.83,0.3281,29.9218772964,83.3726299686,56.3321050418
-0.3748,0.122,0.8616,0.3196,-0.3253,0.3206,0.8156,0.3549,30.2398562638,83.3486167124,55.892069617
-0.3748,0.122,0.8616,0.3196,-0.3253,0.3206,0.8156,0.3549,29.320830214,83.470147459,57.627008121
-0.3693,0.1222,0.8612,0.3271,-0.3182,0.3334,0.8033,0.3769,30.0650858316,82.432870938,57.3713327352
-0.3669,0.121,0.8603,0.3324,-0.3214,0.3342,0.7973,0.3862,30.9406622322,82.2179400036,56.83961967
-0.3669,0.121,0.8603,0.3324,-0.3214,0.3342,0.7973,0.3862,31.0998615406,81.8996199238,57.196029273
-0.3622,0.1162,0.8616,0.3359,-0.3209,0.3256,0.7959,0.3967,31.3032226986,81.2313226476,57.1861710074
-0.3603,0.1154,0.8624,0.3359,-0.3155,0.3259,0.7966,0.3994,30.584666554,81.228565708,57.296177829
-0.3587,0.1181,0.8633,0.3346,-0.3024,0.3184,0.804,0.4008,31.6463102764,81.4288554544,56.9026904784
-0.3623,0.1196,0.8632,0.3302,-0.3031,0.307,0.8179,0.3804,30.5983951668,80.8280355996,57.519690318
-0.3656,0.1188,0.8635,0.3261,-0.3051,0.2951,0.8302,0.3613,30.9826833484,81.2369657776,57.381515745
-0.3654,0.1176,0.8651,0.3226,-0.2968,0.3014,0.8148,0.3964,30.525901158,81.9417708836,57.7373148744
-0.3664,0.1175,0.8657,0.3199,-0.2957,0.3044,0.8094,0.4057,30.724982503,80.5248021546,56.491378888
-0.3669,0.1171,0.8665,0.3175,-0.2958,0.3085,0.8031,0.4151,31.1392158304,80.198153906,55.322923724
-0.3677,0.1173,0.8666,0.3159,-0.2915,0.3167,0.7947,0.4278,30.3538598056,80.5248584442,55.7972355638
-0.3677,0.1178,0.8664,0.3164,-0.2873,0.3186,0.7927,0.4328,31.14767901,79.791533445,54.7342294318
-0.3673,0.1174,0.8666,0.3164,-0.2844,0.319,0.7918,0.4363,30.662575544,79.79448712,54.851893478
-0.3662,0.1171,0.8671,0.3165,-0.2815,0.3179,0.7913,0.4397,30.1322920808,79.8188368262,55.1856464156
-0.3619,0.1151,0.8685,0.3183,-0.2757,0.3149,0.7902,0.4475,29.6876919236,79.7376752024,55.3709657532
-0.3593,0.1137,0.8692,0.3198,-0.2745,0.3116,0.7903,0.4503,29.338490784,79.7592521262,56.2266324842
-0.3564,0.1131,0.8699,0.3212,-0.2715,0.3106,0.7899,0.4534,29.7882479854,79.5899837548,55.5803511062
-0.3486,0.1141,0.8705,0.328,-0.2638,0.3104,0.7863,0.4644,29.7226462044,79.0665171828,56.8469129692
-0.3466,0.1138,0.8708,0.3294,-0.2631,0.3087,0.7871,0.4645,30.6079288914,78.5222283488,57.382688793
-0.3457,0.1129,0.8719,0.3278,-0.2626,0.3067,0.7885,0.4637,29.7225621918,78.3925645992,56.9347313754
-0.341,0.1127,0.8742,0.3265,-0.2601,0.3065,0.7897,0.4631,30.806728641,79.2074036352,56.6545177542
-0.3394,0.113,0.8745,0.3272,-0.2639,0.3098,0.791,0.4567,30.5257114284,78.6325697088,56.6087686128
-0.3386,0.1138,0.8743,0.3283,-0.271,0.3088,0.7953,0.4455,30.0526722384,78.1940896962,57.042419407
-0.3353,0.1149,0.8745,0.3309,-0.2817,0.3048,0.8078,0.4183,30.5780601676,78.750959974,56.9819033918
-0.3312,0.1159,0.8743,0.335,-0.2774,0.3128,0.8062,0.4186,30.5310568004,77.5931582396,58.4994284796
-0.3246,0.1185,0.8734,0.343,-0.2705,0.3188,0.8045,0.4218,31.7969533388,77.3642385416,58.8523059416
-0.3174,0.12,0.8721,0.3524,-0.2652,0.3237,0.8131,0.4043,30.6554374758,76.1199224476,61.6525047086
-0.314,0.1199,0.8724,0.3546,-0.2733,0.3242,0.813,0.3989,31.0039701154,76.149809766,62.5149183348
-0.3094,0.1208,0.8726,0.3577,-0.2705,0.3237,0.8065,0.4142,32.9399265814,76.3668141736,61.2577682144
-0.3067,0.1218,0.8711,0.3636,-0.2641,0.3273,0.7947,0.4375,31.363316179,75.9226085804,62.3555749482
-0.306,0.1213,0.8706,0.3653,-0.2636,0.3288,0.7879,0.4487,32.2643913166,76.1733225896,61.3781768854
-0.3048,0.1215,0.8698,0.3684,-0.268,0.324,0.7853,0.4542,33.774329559,76.055621775,60.614551983
-0.3025,0.1207,0.8693,0.3715,-0.2687,0.3164,0.7792,0.4694,32.952272427,75.716452493,61.241118935
-0.3028,0.1195,0.8695,0.3712,-0.2697,0.3124,0.7748,0.4787,33.5133397832,75.7852386932,61.6072529532
-0.3026,0.1185,0.8699,0.3708,-0.2681,0.3115,0.7733,0.4826,34.5171622872,75.6473315994,60.6232423362
-0.3029,0.1159,0.8704,0.3703,-0.2709,0.3022,0.7651,0.4997,33.6376212998,76.1731622844,61.2871771424
-0.3041,0.1151,0.8703,0.3697,-0.2702,0.3014,0.7642,0.5019,33.852126589,76.574681202,61.2029921294
-0.3044,0.1159,0.8699,0.3702,-0.2687,0.3023,0.7637,0.5029,34.5522933588,76.2892386916,60.5103248412
-0.3041,0.1184,0.8693,0.371,-0.2615,0.3072,0.7752,0.4859,34.0236414714,75.9565870286,61.1730988576
-0.3069,0.1218,0.8689,0.3685,-0.2586,0.3109,0.7817,0.4746,34.2103825466,75.6192187168,61.1796267166
-0.3092,0.124,0.8688,0.3661,-0.2545,0.3187,0.7861,0.4642,34.4467269176,76.0826423504,60.5945938348
-0.3156,0.1285,0.8677,0.3617,-0.2539,0.3192,0.8018,0.4365,34.4896205652,75.7532877472,60.2437583516
-0.3223,0.1293,0.8681,0.3546,-0.264,0.3045,0.8246,0.3968,34.4845051048,76.813122628,59.5341653776
-0.3265,0.1282,0.8689,0.3489,-0.258,0.3076,0.8197,0.4083,33.8419495302,77.1074202074,60.2442330572
-0.3325,0.1264,0.8713,0.3378,-0.2679,0.3129,0.8091,0.419,33.9513470094,77.4655879378,57.6341856284
