S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3682,0.1579,0.8739,0.275,-0.2263,0.4,0.8106,0.3626,41.9091410344,74.3961391368,54.323825934
-0.3679,0.1575,0.8741,0.2749,-0.2262,0.3995,0.8109,0.3626,41.841191955,74.734669984,54.451417355
-0.3676,0.1575,0.8743,0.2749,-0.2262,0.3989,0.8112,0.3626,41.98368098,74.6574450512,54.5378377384
-0.3684,0.1581,0.8739,0.2747,-0.2273,0.3984,0.8114,0.3619,41.800371298,74.4712736854,54.4350381066
-0.3685,0.1582,0.8738,0.2749,-0.2277,0.3984,0.8114,0.3616,42.1203186848,74.5843360502,54.4473033874
-0.3682,0.1578,0.8739,0.275,-0.2278,0.398,0.8118,0.3613,41.688541456,74.586192308,54.44370082
-0.369,0.1568,0.8737,0.2753,-0.2299,0.3966,0.8125,0.3599,41.7644420962,74.5624958234,54.2683395268
-0.3696,0.1539,0.8738,0.2758,-0.2318,0.3945,0.8129,0.3599,41.2544371742,74.7436269598,54.2174861328
-0.3696,0.1539,0.8738,0.2758,-0.2318,0.3945,0.8129,0.3599,40.437048214,74.9122773624,53.9109855796
-0.3698,0.1508,0.8743,0.2755,-0.2331,0.3919,0.8131,0.3615,41.171965788,75.0338723102,53.917789618
-0.3699,0.15,0.8744,0.2755,-0.2343,0.3908,0.8127,0.3629,39.7243372248,74.9519569694,53.849547602
-0.3703,0.1497,0.8742,0.2761,-0.2349,0.3909,0.8122,0.3635,39.8064886372,74.7431603984,53.775511402
-0.3698,0.1494,0.8738,0.278,-0.2368,0.392,0.8117,0.3623,40.8012874144,75.1595793514,53.6888775564
-0.3699,0.1492,0.8737,0.2783,-0.2393,0.3934,0.8113,0.3599,39.9219940344,74.6488038614,53.780250802
-0.3698,0.1488,0.8735,0.2791,-0.2398,0.3937,0.8113,0.3593,39.956958823,74.7517547742,53.8661262512
-0.3649,0.1492,0.8742,0.2832,-0.2373,0.3987,0.8079,0.3632,41.115980829,75.0753361996,53.7959523458
-0.3603,0.1506,0.8737,0.2898,-0.2331,0.402,0.8056,0.3672,40.044948948,73.3790680592,55.3912132216
-0.3574,0.1511,0.8736,0.2933,-0.2213,0.406,0.8038,0.374,40.6650371778,73.1801185954,57.2760825292
-0.3502,0.1506,0.8746,0.2994,-0.2089,0.4163,0.8018,0.3742,41.9674037536,73.8676084764,56.2195825924
-0.3466,0.153,0.8729,0.3072,-0.2171,0.4211,0.7962,0.3762,41.4115087438,73.1895765504,57.7689863392
-0.3436,0.1544,0.872,0.3124,-0.2101,0.4277,0.7801,0.405,42.062559961,72.5586772316,57.9168895534
-0.3392,0.1548,0.8709,0.3199,-0.2159,0.417,0.7703,0.4313,43.0605572296,73.4732544672,56.347763358
-0.3375,0.1544,0.8701,0.3241,-0.2274,0.4102,0.7655,0.4404,42.350141594,72.873365648,57.005290295
-0.3372,0.1539,0.8693,0.3266,-0.2335,0.4049,0.7573,0.4559,42.798769995,72.138615899,57.061737328
-0.3367,0.1511,0.8692,0.3289,-0.2308,0.4002,0.7557,0.464,43.720512923,72.5326495276,56.1598844122
-0.3361,0.1519,0.8685,0.3308,-0.223,0.4031,0.7551,0.4663,42.6907175796,72.0466041652,56.5542600488
-0.3386,0.1538,0.8668,0.3319,-0.2079,0.4157,0.7617,0.4512,43.7823505712,72.2683555336,56.323902756
-0.3405,0.1536,0.8665,0.3309,-0.2053,0.4192,0.7655,0.4426,42.4993823016,71.8056312798,56.759422257
-0.3436,0.1518,0.8667,0.328,-0.2114,0.4149,0.7747,0.4275,41.8594587936,72.6355239204,56.5127777604
-0.3495,0.1455,0.8692,0.3178,-0.2317,0.3902,0.8035,0.3849,42.6466166744,72.7090357448,56.9897737476
-0.3518,0.1422,0.8701,0.3142,-0.2406,0.3876,0.7984,0.3927,41.2838958016,73.2322729396,56.038557336
-0.3533,0.1364,0.8721,0.3095,-0.2476,0.3859,0.7958,0.3953,40.5132384272,73.1899618224,54.4448782704
-0.3592,0.1282,0.8724,0.3056,-0.2514,0.3884,0.787,0.4078,41.1528542412,72.7681619904,55.761030432
-0.3633,0.1223,0.874,0.2983,-0.2507,0.387,0.7849,0.4138,39.7943152798,73.0267664826,53.2889472512
-0.3685,0.1161,0.8741,0.2942,-0.25,0.3852,0.7836,0.4183,38.781208458,74.71808878,51.311590001
-0.374,0.1089,0.874,0.2902,-0.2491,0.3824,0.781,0.426,38.3664636926,74.2205710168,53.1143678442
