S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3853,-0.0189,0.8748,0.2927,-0.3024,0.3635,0.7864,0.3971,37.356459606,81.72618142,49.956087886
-0.3853,-0.0189,0.8748,0.2927,-0.3024,0.3635,0.7864,0.3971,37.3055504124,82.361009678,49.7766465128
-0.3859,-0.0195,0.8731,0.297,-0.3008,0.3629,0.778,0.4151,37.2135427836,81.8223265598,50.2001927834
-0.3851,-0.019,0.8723,0.3005,-0.2959,0.3665,0.7706,0.4291,37.2514305308,82.1329908108,50.00711974
-0.3854,-0.0182,0.8717,0.3018,-0.2908,0.3698,0.765,0.4396,37.0949401412,80.5013309304,51.1627115076
-0.3858,-0.0157,0.8712,0.3032,-0.2828,0.3788,0.7556,0.4532,37.5525237902,80.0053728536,51.0109007446
-0.3866,-0.0151,0.8709,0.3029,-0.2828,0.3812,0.7537,0.4544,37.0111810136,80.2914179772,50.312006964
-0.3869,-0.0148,0.8706,0.3032,-0.2812,0.3833,0.7529,0.455,37.5381997832,80.1566530064,50.259196216
-0.3866,-0.0144,0.8707,0.3032,-0.2821,0.3856,0.7526,0.453,37.2029546528,80.135885144,50.2089138304
-0.3869,-0.0144,0.871,0.302,-0.2897,0.3839,0.7551,0.4454,37.1568072896,79.942298,50.36334632
-0.3872,-0.0153,0.8719,0.2992,-0.3048,0.3765,0.7652,0.4238,37.6869754464,80.59384676,49.97193492
-0.3867,-0.0158,0.8724,0.2982,-0.3095,0.3743,0.77,0.4135,37.6625250772,81.5758011296,49.9440319872
-0.3857,-0.0146,0.8722,0.3002,-0.312,0.3776,0.772,0.4047,37.551580042,80.9867578752,50.5393854264
-0.3861,-0.0139,0.8718,0.301,-0.3116,0.3811,0.7801,0.386,37.9407525782,81.0697744896,50.6912160342
-0.386,-0.0147,0.8718,0.3009,-0.3183,0.3763,0.7873,0.3702,38.055293784,81.6835701744,51.2788884408
-0.3859,-0.0148,0.8718,0.301,-0.3313,0.3676,0.7975,0.345,37.9841160604,81.6984515368,51.5738555936
-0.3869,-0.0145,0.8717,0.3004,-0.3362,0.3635,0.8002,0.338,37.6469841632,82.1068823324,51.3948982288
-0.3876,-0.0136,0.871,0.3012,-0.3332,0.3581,0.7994,0.3485,37.9125180292,82.0781347522,51.3557399322
-0.3882,-0.0136,0.8707,0.3015,-0.3175,0.3651,0.7887,0.379,37.762409224,82.443612948,51.2226434
-0.389,-0.0115,0.8698,0.303,-0.3013,0.3771,0.7653,0.4257,37.6549015016,80.7582336012,51.981087884
-0.3894,-0.0098,0.8695,0.3035,-0.294,0.3837,0.7581,0.4376,38.2984787056,80.1203227474,51.5889625644
-0.389,-0.0095,0.8698,0.3031,-0.2941,0.3854,0.7581,0.436,37.734218565,80.3775210178,50.5008308496
-0.3883,-0.01,0.8701,0.3031,-0.3012,0.3842,0.763,0.4235,38.02308365,80.5468178382,50.4160056224
-0.3863,-0.0112,0.8712,0.3026,-0.3098,0.3812,0.7785,0.3906,37.8358156886,81.3036876402,50.6665454288
-0.3851,-0.0125,0.872,0.3015,-0.3177,0.377,0.7888,0.3668,38.1142794474,80.7676867258,51.1420425692
-0.3848,-0.0129,0.872,0.3021,-0.3297,0.3706,0.7956,0.3476,37.8230437188,82.2046383092,50.487105928
-0.3849,-0.0144,0.872,0.302,-0.3369,0.365,0.795,0.348,37.505345802,83.0638109004,51.2318412012
-0.3854,-0.0149,0.872,0.3012,-0.3372,0.3641,0.7947,0.3493,37.7995303628,82.7916600686,51.6727836634
-0.3859,-0.0148,0.8719,0.3009,-0.3364,0.3636,0.7939,0.3524,37.6126280024,83.291448776,50.9016945632
-0.387,-0.0144,0.8714,0.3008,-0.3329,0.3591,0.795,0.3578,37.5771214336,83.0604878592,51.3931482752
-0.3886,-0.0139,0.8708,0.3005,-0.3317,0.3538,0.7982,0.3571,37.6167455828,83.228831488,51.0957171776
-0.3892,-0.0144,0.8707,0.3001,-0.32,0.3523,0.7988,0.3677,37.3617656856,82.660070991,52.0153346302
-0.3896,-0.0137,0.8701,0.3012,-0.3043,0.3647,0.781,0.4052,37.4043794158,81.6727325106,51.67615533
-0.3901,-0.013,0.8695,0.3023,-0.3004,0.3692,0.774,0.4174,37.4138471518,81.9928706196,51.1249528142
-0.3901,-0.013,0.8695,0.3023,-0.2965,0.3747,0.7686,0.4252,37.8647310394,80.6846617058,50.956762398
-0.3898,-0.0148,0.8703,0.3006,-0.3056,0.3731,0.7743,0.4096,37.5280206912,81.3170329548,50.295779792
-0.39,-0.0156,0.8704,0.2998,-0.3094,0.3735,0.7788,0.3977,37.57161978,81.29382528,50.2169990664
-0.3905,-0.0169,0.8709,0.2979,-0.3227,0.3657,0.7949,0.3607,37.368961986,82.807941192,49.5427790766
-0.3906,-0.02,0.8717,0.295,-0.3468,0.3497,0.8026,0.3363,36.8557100544,84.9170177376,49.1816470496
-0.3914,-0.0197,0.8712,0.2954,-0.3459,0.3501,0.8023,0.3374,37.2058885282,84.2766307216,50.4620455388
-0.3921,-0.0197,0.8711,0.2947,-0.3433,0.3516,0.8023,0.3387,36.8689155956,84.6406687576,49.6868530918
-0.3935,-0.0191,0.8704,0.2949,-0.3414,0.3516,0.802,0.3413,37.2521458788,84.4740065144,50.38573219
-0.3945,-0.0191,0.8706,0.2932,-0.34,0.35,0.8029,0.3421,37.1118245126,84.6433497002,50.132566716
-0.3961,-0.0186,0.8697,0.2937,-0.339,0.3406,0.8085,0.3394,37.1305801244,84.5305796188,50.341925408
-0.3955,-0.0176,0.869,0.2964,-0.3197,0.3551,0.7947,0.3741,37.0676013136,83.2259348512,50.9190695392
-0.3964,-0.0168,0.8688,0.296,-0.3165,0.3593,0.7901,0.3826,37.1205568684,83.5911009484,50.334939814
-0.3967,-0.0164,0.8687,0.2958,-0.3129,0.3628,0.7825,0.3975,37.8507332368,82.6476921584,50.5786940208
-0.3975,-0.0157,0.8681,0.2966,-0.3093,0.3665,0.7772,0.4071,37.868215641,81.8054847988,49.8362959118
-0.3966,-0.014,0.8671,0.3008,-0.3037,0.3792,0.7595,0.4322,37.5939251368,81.960284928,49.4465771832
