S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3879,0.1931,0.8463,0.3097,-0.2772,0.4188,0.7751,0.3831,37.116782051,78.7107914596,52.4249293478
-0.3879,0.1931,0.8463,0.3097,-0.2772,0.4188,0.7751,0.3831,37.1164989752,78.7945236552,52.4230815248
-0.3881,0.1931,0.846,0.3101,-0.2773,0.4188,0.775,0.3832,37.1540450216,78.7944576224,52.0468002184
-0.3884,0.193,0.8459,0.3101,-0.2778,0.4186,0.775,0.3833,36.9104162652,78.8073440816,52.3472636896
-0.3892,0.1926,0.8457,0.3099,-0.2785,0.4183,0.7752,0.3826,36.88933275,78.815548724,52.2503725
-0.3892,0.1926,0.8457,0.3099,-0.2785,0.4183,0.7752,0.3826,37.0671106542,78.872934035,52.0137472202
-0.3895,0.1923,0.8456,0.3101,-0.2788,0.4183,0.7751,0.3826,36.8282435042,78.8431699412,52.0848543722
-0.3894,0.1918,0.8457,0.3101,-0.2787,0.4179,0.7753,0.3827,36.7765928838,78.7795285218,52.2300078308
-0.3894,0.1918,0.8457,0.3101,-0.2787,0.4179,0.7753,0.3827,37.0535773282,78.887499373,51.975285151
-0.3895,0.1911,0.846,0.3095,-0.2786,0.4174,0.7756,0.3826,36.8564560882,78.8284832098,52.1754354722
-0.3896,0.1912,0.8458,0.3101,-0.2786,0.4174,0.7755,0.3828,37.1130889558,78.9996873788,52.0253327556
-0.3896,0.1909,0.8459,0.3099,-0.2788,0.4171,0.7755,0.3829,37.0452143268,78.9633455204,52.047775949
-0.389,0.1906,0.8465,0.3093,-0.2785,0.4165,0.7761,0.3827,37.1883843738,78.9950553414,52.085149134
-0.389,0.1907,0.8465,0.3091,-0.2783,0.4166,0.7761,0.3826,37.3191379654,79.05563159,52.0699570854
-0.3892,0.1909,0.8464,0.3089,-0.2788,0.4172,0.7758,0.3824,36.9987427062,78.9617199076,51.926640817
-0.3882,0.19,0.8469,0.3095,-0.2812,0.4189,0.7756,0.3791,37.3460152668,79.0855668184,52.075512364
-0.3878,0.1894,0.8471,0.3098,-0.2835,0.4195,0.7758,0.3762,36.9761965164,79.0926943384,52.536133862
