S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.541,0.2119,0.7637,0.2808,-0.2849,0.3764,0.6863,0.5532,-12.7370699888,89.1973449046,58.0440813692
-0.539,0.2074,0.7662,0.2816,-0.2853,0.3674,0.693,0.5505,-13.9093833856,88.4617852512,58.4070501504
-0.5386,0.2064,0.7666,0.2821,-0.2858,0.3634,0.6965,0.5485,-13.2714377944,88.623322308,58.2449830572
-0.5391,0.2053,0.7664,0.2824,-0.2879,0.3582,0.7014,0.5447,-14.3361356356,87.7832999,58.9611279788
-0.5398,0.2033,0.7669,0.2812,-0.2961,0.348,0.708,0.5383,-14.1289538508,87.272218403,59.2732501126
-0.5396,0.2035,0.767,0.281,-0.299,0.3438,0.71,0.5368,-13.877988229,87.4827782818,58.6929998516
-0.5393,0.2031,0.7674,0.2805,-0.3008,0.3383,0.7132,0.535,-14.118015196,86.6943463952,59.1946571804
-0.5383,0.2027,0.7684,0.2803,-0.3065,0.3308,0.7149,0.5343,-14.3342400306,85.5821837574,59.5787820216
-0.5378,0.2028,0.7686,0.2805,-0.3051,0.3298,0.715,0.5355,-14.6058833808,85.5835454944,59.5942309416
-0.5361,0.2028,0.7695,0.2813,-0.3043,0.3289,0.7134,0.5386,-14.6243219744,84.4766604832,60.1897686592
-0.5356,0.2017,0.7696,0.2827,-0.3051,0.3295,0.7058,0.5477,-15.2340886328,82.9666189296,60.890756096
-0.5352,0.2004,0.7704,0.2825,-0.3051,0.3293,0.7031,0.5513,-15.2957574944,82.9601127502,60.7701860404
-0.5344,0.1992,0.7713,0.2822,-0.3044,0.3284,0.7019,0.5538,-15.9194366046,82.2086671646,60.8353896774
-0.5332,0.1975,0.7731,0.281,-0.3023,0.3267,0.7015,0.5564,-16.483358938,81.8792228956,60.3972969412
-0.5336,0.1967,0.7733,0.2797,-0.3043,0.3262,0.7023,0.5545,-16.0012519454,81.6351017852,60.8076755724
-0.5333,0.1972,0.7733,0.2802,-0.3049,0.3267,0.7031,0.5529,-16.19528957,82.5299895288,60.4181591944
-0.531,0.1979,0.7747,0.28,-0.304,0.3269,0.7049,0.551,-16.0283340336,83.0673886404,60.6694675332
-0.5234,0.2056,0.775,0.288,-0.293,0.3341,0.7041,0.5537,-15.713573476,82.8723242912,61.3600563216
-0.5198,0.2093,0.7749,0.2921,-0.2872,0.3374,0.7046,0.5541,-15.522902237,82.5618075694,62.7056079342
-0.515,0.2138,0.7745,0.2984,-0.2777,0.3411,0.705,0.5562,-14.3840402586,82.2725605866,64.9947149976
-0.5087,0.2167,0.7745,0.3068,-0.2659,0.3369,0.721,0.5438,-13.8349525152,82.7177096188,64.5651893508
-0.505,0.2174,0.775,0.3115,-0.2634,0.3352,0.7255,0.5401,-14.0673782998,82.4350646882,65.5546663072
-0.4999,0.2183,0.7741,0.3212,-0.2554,0.3391,0.7252,0.5419,-14.4299272066,81.3213047938,66.6180448
-0.4942,0.2177,0.7729,0.3329,-0.2357,0.3558,0.7073,0.5634,-13.5252082454,81.308062575,66.690535092
-0.4902,0.2174,0.7739,0.3365,-0.2237,0.3742,0.6803,0.589,-14.3108749248,81.4117384864,67.1409208836
-0.4834,0.2163,0.7752,0.3441,-0.1955,0.3978,0.6051,0.6612,-14.0294528814,81.4261263158,65.989646926
-0.4796,0.2183,0.7734,0.352,-0.1788,0.411,0.5729,0.686,-13.209390793,81.265629025,65.705530026
-0.4766,0.2195,0.7735,0.3552,-0.1869,0.4129,0.5859,0.6716,-12.9036219286,81.2314788832,65.107925104
-0.4686,0.2196,0.7761,0.3601,-0.1945,0.3912,0.6279,0.644,-12.158761184,81.1993049,62.947981262
-0.4686,0.2196,0.7761,0.3601,-0.1945,0.3912,0.6279,0.644,-11.44887231,81.12488489,62.285552555
-0.4623,0.2239,0.7731,0.372,-0.2186,0.37,0.6454,0.6313,-11.08743451,80.17011044,61.573550655
-0.4589,0.2251,0.7742,0.3731,-0.212,0.3701,0.66,0.6183,-9.971459816,79.475684406,60.619057468
-0.4589,0.2251,0.7742,0.3731,-0.212,0.3701,0.66,0.6183,-9.5290590696,79.3052302192,59.9780628748
