S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.4457,0.2221,0.8154,0.2947,-0.1997,0.3395,0.7196,0.5717,-6.2004410464,74.4645420228,69.9364610644
-0.4407,0.2319,0.8105,0.3081,-0.1856,0.3571,0.7101,0.5776,-5.5304342306,75.3285401466,69.9694902356
-0.4383,0.2359,0.8073,0.3169,-0.1818,0.3619,0.7098,0.5761,-3.9710110418,72.5740156834,72.0369415188
-0.4371,0.2362,0.8059,0.3216,-0.1815,0.3618,0.7132,0.5721,-2.9457385664,72.4625003586,72.6870712658
-0.4291,0.238,0.8045,0.3344,-0.1733,0.3683,0.7097,0.5748,-3.429642456,73.4839938592,71.8786964496
-0.4232,0.2412,0.8024,0.3446,-0.1641,0.3739,0.7017,0.5836,-2.8269737024,71.7281196432,72.7505779632
-0.4202,0.242,0.8009,0.3511,-0.1601,0.3768,0.6969,0.5887,-2.2586901504,70.633461494,73.7824081028
-0.4107,0.2435,0.7995,0.3643,-0.134,0.4035,0.644,0.6359,-1.8595812416,71.75021478,72.5733405466
-0.4052,0.2453,0.7983,0.3718,-0.1107,0.4181,0.5992,0.6736,-1.7503705206,70.606146951,73.2611482686
-0.4031,0.2468,0.7958,0.3782,-0.0985,0.4247,0.5697,0.6966,0.0184487554,70.6339218642,72.51311439
-0.3951,0.2482,0.7953,0.3867,-0.0853,0.4315,0.571,0.6931,0.9941430178,71.460747259,70.8308585092
-0.3919,0.2477,0.7954,0.3902,-0.1038,0.4223,0.5869,0.6829,1.1168055392,71.5826538304,69.9080981824
-0.3911,0.2479,0.7938,0.3939,-0.1075,0.4258,0.5913,0.6763,2.6052658118,71.6376237524,68.003959017
-0.3856,0.248,0.7915,0.4039,-0.1139,0.4151,0.6185,0.6572,3.0627340528,72.0929974608,66.7879338076
-0.3831,0.2468,0.7913,0.4074,-0.1259,0.4055,0.6242,0.6557,3.182298442,72.1533357382,65.6913216698
-0.3817,0.245,0.7923,0.4078,-0.1243,0.4049,0.6259,0.6547,3.8559900024,72.0706222876,63.7661510412
-0.379,0.2429,0.7925,0.4112,-0.119,0.4028,0.6311,0.652,4.195318605,72.256974397,62.9132538868
-0.3774,0.2415,0.7919,0.4146,-0.114,0.4022,0.633,0.6514,4.5008922298,72.2404687706,62.0935303728
-0.3779,0.2404,0.7919,0.4149,-0.1103,0.4022,0.6342,0.651,4.675295628,72.559336728,61.100305568
-0.3809,0.2388,0.7919,0.413,-0.1049,0.4041,0.6351,0.6497,4.6807030314,72.322076025,60.7351064604
-0.3827,0.239,0.7922,0.4107,-0.1046,0.4078,0.6316,0.6509,4.5952814444,72.77325979,61.0073760584
-0.3844,0.2393,0.7931,0.4072,-0.1045,0.4104,0.6264,0.6544,4.0866362264,72.9226502076,62.6246497668
-0.3892,0.2445,0.7943,0.3972,-0.101,0.4138,0.6085,0.6694,3.4643973128,72.3338705096,63.556975368
-0.3927,0.2489,0.7948,0.3898,-0.1007,0.4113,0.5993,0.6793,3.204333382,72.963545166,64.2563845
-0.3969,0.2515,0.7941,0.3853,-0.098,0.411,0.5844,0.6926,2.3370713816,72.3012119404,66.7679526724
-0.4085,0.254,0.7957,0.3679,-0.1154,0.3891,0.5988,0.6904,0.93378411,71.3797219352,68.8106031964
-0.4111,0.2525,0.7971,0.3629,-0.1468,0.3598,0.6574,0.6456,0.50384355,73.019995726,68.6055608
-0.4138,0.2512,0.7981,0.3585,-0.163,0.3457,0.6947,0.6092,-1.4543555372,72.3791129132,70.2593327148
-0.4202,0.2489,0.7998,0.3489,-0.1556,0.3496,0.723,0.575,-2.0306649218,71.376896564,71.8558359758
-0.4226,0.2468,0.8011,0.3442,-0.1561,0.3485,0.7258,0.5721,-2.6347463932,72.5439319572,71.2141916428
-0.4249,0.2445,0.8024,0.3399,-0.161,0.3435,0.7297,0.5686,-3.9499173102,72.8333623972,71.5220031314
-0.4275,0.2422,0.8042,0.3342,-0.166,0.3395,0.7194,0.5826,-4.069588448,72.041984496,72.068234208
-0.4275,0.2422,0.8042,0.3342,-0.166,0.3395,0.7194,0.5826,-4.7456613184,72.8081807072,71.833152288
-0.428,0.239,0.807,0.3291,-0.1671,0.338,0.715,0.5886,-5.4266074704,73.1655874224,71.4685041592
-0.4298,0.2377,0.8078,0.3255,-0.1705,0.3375,0.7126,0.5908,-5.3425570256,72.5408504562,71.406344597
-0.4298,0.2377,0.8078,0.3255,-0.1705,0.3375,0.7126,0.5908,-5.818329624,72.613208021,71.095537221
-0.4288,0.2366,0.8095,0.3236,-0.1711,0.3328,0.7159,0.5894,-6.5186282008,72.474430436,70.5994564464
-0.4273,0.2342,0.8122,0.3205,-0.1693,0.3305,0.7162,0.5908,-6.2235507008,72.013445234,71.001978939
-0.427,0.2332,0.813,0.3197,-0.1718,0.3279,0.7172,0.5903,-6.839311981,72.001931158,70.3603398938
-0.4272,0.232,0.8142,0.3171,-0.1734,0.3276,0.7176,0.5895,-6.31749077,72.427628968,70.332985016
-0.4243,0.2344,0.8145,0.3184,-0.1729,0.3328,0.712,0.5935,-6.0308190808,72.1001286296,71.2560807732
-0.4216,0.2374,0.8133,0.3229,-0.1704,0.3371,0.7084,0.596,-5.2728312404,70.7028089704,72.0297340464
-0.419,0.2393,0.8123,0.3273,-0.1646,0.3414,0.7083,0.5954,-3.8305855398,70.205543255,74.4984136528
-0.4144,0.244,0.8114,0.3319,-0.1536,0.3537,0.7022,0.5983,-4.1613937486,71.0251060054,73.7553370704
-0.4115,0.2487,0.8081,0.3402,-0.1513,0.36,0.6986,0.5994,-2.6694816312,68.9720325128,75.3319048062
-0.407,0.2542,0.804,0.3511,-0.1499,0.364,0.7012,0.5942,-1.153311992,66.952173664,77.82132368
-0.4028,0.2562,0.8021,0.3585,-0.1445,0.369,0.7001,0.5938,-2.0216871928,68.3328547152,75.7507303404
