S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
0.0155,-0.1098,0.894,0.434,-0.2767,-0.2086,0.6722,0.6541,-0.1285,-0.0092,-0.8247,-0.5505,26.10973762,96.7936536516,3.3270665132
0.0189,-0.1027,0.8957,0.4321,-0.2627,-0.1823,0.6842,0.6553,-0.1282,0.0285,-0.8157,-0.5631,30.6524899756,96.7935468566,0.0268623636001
0.0189,-0.1027,0.8957,0.4321,-0.2627,-0.1823,0.6842,0.6553,-0.1282,0.0285,-0.8157,-0.5631,30.3428131444,97.0364056756,0.3219053032
0.0227,-0.1002,0.8961,0.4317,-0.2564,-0.1725,0.6891,0.6553,-0.137,0.0671,-0.8023,-0.577,33.722469647,97.0498430376,-1.373061543
0.0232,-0.0998,0.8958,0.4324,-0.2572,-0.1744,0.6882,0.6554,-0.1414,0.0761,-0.8025,-0.5745,34.5359458762,97.0184126116,-1.4772429162
0.0182,-0.1015,0.8955,0.4328,-0.2631,-0.1815,0.6852,0.6544,-0.1421,0.0734,-0.8044,-0.572,34.2773889968,97.064688092,-1.465850904
0.0101,-0.1093,0.8927,0.437,-0.2829,-0.2199,0.6682,0.6519,-0.1326,0.0177,-0.8203,-0.556,29.761398914,97.196979551,-0.064066772
0.0086,-0.1115,0.8908,0.4404,-0.2867,-0.2373,0.6578,0.6546,-0.1296,-0.028,-0.8358,-0.5326,24.0049274768,96.608033692,5.0620823158
0.0073,-0.1143,0.8888,0.4436,-0.2888,-0.2476,0.652,0.6557,-0.1278,-0.0444,-0.8408,-0.5241,23.9439729088,96.652034412,4.63550114
0.0078,-0.1176,0.8861,0.4481,-0.2933,-0.2666,0.642,0.6561,-0.1215,-0.0658,-0.8449,-0.5167,20.4567879252,96.0231621536,7.6894946808
0.0079,-0.1182,0.8856,0.4489,-0.2938,-0.2681,0.6405,0.6567,-0.1206,-0.0708,-0.8458,-0.5147,19.7216377326,95.7705273158,7.7714120892
0.0081,-0.1177,0.8867,0.4468,-0.293,-0.2648,0.642,0.6571,-0.121,-0.0725,-0.8462,-0.5137,20.1812326722,95.7076887152,7.0154832966
0.0127,-0.112,0.8893,0.4431,-0.2869,-0.2392,0.652,0.6596,-0.1237,-0.0685,-0.8439,-0.5173,21.911909672,95.8433623816,5.8884667732
0.0212,-0.1049,0.8916,0.4398,-0.2731,-0.2122,0.6648,0.662,-0.1271,-0.0531,-0.8395,-0.5254,28.7623085858,96.460718724,2.7244296886
0.0249,-0.1015,0.8931,0.4373,-0.2634,-0.1973,0.6735,0.6618,-0.1288,-0.0307,-0.8347,-0.5343,29.0105873718,96.6003473302,2.7726785648
0.026,-0.0962,0.8965,0.4316,-0.2526,-0.1738,0.6878,0.6578,-0.1378,0.0371,-0.8167,-0.5591,34.3521032066,96.7564547266,-0.49509791
0.0257,-0.0936,0.8972,0.4307,-0.2534,-0.1663,0.6918,0.6552,-0.1528,0.0827,-0.7993,-0.5751,38.033398048,96.4419720244,-2.7768279932
0.027,-0.0921,0.8977,0.4299,-0.254,-0.1632,0.6936,0.6539,-0.1611,0.1031,-0.7937,-0.5773,37.4991388136,96.6917487048,-1.8816752032
0.0251,-0.0919,0.8992,0.4268,-0.2598,-0.1589,0.6984,0.6475,-0.1744,0.1341,-0.7848,-0.5792,40.396442396,96.0368225016,-3.2176610976
0.025,-0.0915,0.8993,0.4268,-0.2628,-0.1574,0.7002,0.6447,-0.1792,0.1422,-0.7828,-0.5784,41.5595576234,95.2286770364,-4.5811089488
0.026,-0.091,0.8996,0.4262,-0.2628,-0.1566,0.7006,0.6445,-0.1812,0.1427,-0.7838,-0.5764,41.4991112192,95.4412765266,-3.8035470412
0.0219,-0.0917,0.8989,0.4276,-0.2641,-0.1598,0.6983,0.6458,-0.184,0.1425,-0.7856,-0.5732,42.2709397832,94.9462536996,-3.7356632104
0.0189,-0.0938,0.8972,0.4309,-0.2713,-0.1771,0.6868,0.6505,-0.1841,0.1254,-0.7866,-0.5757,39.446522482,95.948988929,-2.052229253
0.0162,-0.0956,0.8943,0.4367,-0.2745,-0.186,0.6801,0.6538,-0.182,0.1029,-0.7928,-0.5724,39.032281462,96.1038970988,-2.088562308
0.0117,-0.101,0.8941,0.436,-0.2811,-0.2034,0.6728,0.6533,-0.1682,0.0578,-0.8078,-0.5619,34.5231807108,97.2532146308,0.6798397688
0.0109,-0.1037,0.8932,0.4371,-0.286,-0.2163,0.6688,0.6511,-0.1554,0.0374,-0.8125,-0.5605,29.3073877296,97.9212908388,1.461615734
0.0116,-0.1077,0.8906,0.4415,-0.2877,-0.2259,0.6638,0.6522,-0.1467,0.0092,-0.8197,-0.5535,29.5385581208,97.633166584,1.5050108336
0.0097,-0.1127,0.8888,0.444,-0.2938,-0.2424,0.6565,0.651,-0.1344,-0.0297,-0.8258,-0.5467,25.4922344536,97.826134056,4.3387619832
0.0091,-0.1145,0.8881,0.445,-0.2958,-0.2501,0.6538,0.6499,-0.1298,-0.0422,-0.8272,-0.545,24.1101274848,97.655473994,4.7627087616
0.0089,-0.1163,0.8876,0.4455,-0.2971,-0.2556,0.6504,0.6505,-0.1282,-0.0517,-0.8297,-0.5408,24.3739620044,97.2673214684,4.5730063316
0.0067,-0.1187,0.8841,0.4517,-0.3003,-0.2686,0.6407,0.6535,-0.1238,-0.0728,-0.8322,-0.5355,22.2353593226,96.919796909,6.1132449864
0.0058,-0.1197,0.8837,0.4522,-0.3016,-0.2732,0.6386,0.653,-0.1207,-0.0766,-0.8329,-0.5345,20.946886637,96.478033507,7.578768238
0.0059,-0.1213,0.8838,0.4517,-0.3026,-0.2758,0.6376,0.6525,-0.1198,-0.0789,-0.8347,-0.5314,20.9290851994,96.2482924842,6.838060256
0.0076,-0.122,0.8833,0.4524,-0.3023,-0.2715,0.6386,0.6535,-0.1201,-0.0813,-0.8355,-0.5299,20.1283996506,96.1006037978,7.0101298924
0.0151,-0.1159,0.8856,0.4494,-0.2962,-0.2448,0.6513,0.6542,-0.121,-0.0623,-0.8297,-0.5411,21.8885003708,96.2896132868,6.3258750364
0.0185,-0.1124,0.8878,0.4458,-0.2861,-0.2233,0.6612,0.6564,-0.1227,-0.0449,-0.8267,-0.5472,22.4257659378,96.3793234408,5.7450091414
0.0216,-0.1033,0.8912,0.441,-0.2714,-0.1905,0.6755,0.6585,-0.1296,0.0082,-0.8186,-0.5593,28.2588399602,96.8333496152,3.1654418526
0.0216,-0.1033,0.8912,0.441,-0.2714,-0.1905,0.6755,0.6585,-0.1296,0.0082,-0.8186,-0.5593,33.632699435,96.7070809606,-0.4868163158
0.023,-0.0975,0.8944,0.4357,-0.267,-0.1718,0.6853,0.6552,-0.1486,0.0757,-0.8036,-0.5712,32.9189869622,97.212091477,0.3424447376
0.0258,-0.0962,0.8952,0.4342,-0.2673,-0.1672,0.6901,0.6513,-0.1737,0.1284,-0.7885,-0.5757,37.4282114086,96.685325755,-2.5361732612
0.0258,-0.096,0.8958,0.433,-0.2673,-0.166,0.691,0.6506,-0.181,0.1422,-0.7852,-0.5747,38.9073264628,96.5408610744,-2.7208726058
0.023,-0.0966,0.8953,0.434,-0.2718,-0.1703,0.6879,0.651,-0.1846,0.1441,-0.7867,-0.571,38.5461628784,96.4586216492,-2.5863219164
