S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0196,-0.0025,0.9278,0.3723,-0.22,0.0397,0.7702,0.5971,-0.1764,0.0684,-0.8343,-0.5177,49.6546504218,83.5716267862,-34.7562567772
-0.0196,-0.0025,0.9278,0.3723,-0.22,0.0397,0.7702,0.5971,-0.1764,0.0684,-0.8343,-0.5177,49.5337743924,83.6734014616,-34.7898839344
-0.022,-0.0037,0.9267,0.375,-0.2259,0.0313,0.764,0.6033,-0.1832,0.0611,-0.835,-0.5151,48.5010316092,84.2602270318,-34.5765199618
-0.0258,-0.0064,0.9229,0.3839,-0.2312,0.0219,0.757,0.6107,-0.1934,0.0448,-0.8292,-0.5223,48.3313182828,84.199122714,-34.6459911336
-0.027,-0.0071,0.9222,0.3856,-0.2327,0.0189,0.7551,0.6124,-0.1966,0.0403,-0.8281,-0.5233,46.5117999164,85.442466834,-34.0313997848
-0.0285,-0.0083,0.9219,0.3862,-0.2355,0.0144,0.752,0.6153,-0.2032,0.0335,-0.8267,-0.5234,44.7552937076,86.1762131176,-33.9521646012
-0.0313,-0.0112,0.9171,0.3972,-0.2426,-0.0013,0.7421,0.6246,-0.2148,0.015,-0.8207,-0.5291,44.3376971398,86.063451775,-34.262282806
-0.0306,-0.0129,0.9154,0.401,-0.2446,-0.0084,0.7388,0.6278,-0.2208,0.007,-0.8194,-0.5288,41.4333853886,87.8688108632,-33.242658031
-0.0305,-0.014,0.9146,0.4027,-0.2476,-0.0183,0.7348,0.6311,-0.2263,-0.0064,-0.8212,-0.5236,38.1729582864,89.35471938,-31.4487946312
-0.0309,-0.0163,0.9138,0.4044,-0.2569,-0.0336,0.731,0.6312,-0.2298,-0.0319,-0.8339,-0.5006,37.6520463462,88.9708730548,-32.4540842248
-0.0324,-0.0184,0.9145,0.4027,-0.2593,-0.04,0.7293,0.6318,-0.2284,-0.044,-0.8422,-0.4863,34.5164119986,90.042373452,-30.795663538
-0.0333,-0.0197,0.9146,0.4024,-0.2617,-0.0469,0.7279,0.632,-0.2254,-0.065,-0.8531,-0.4659,31.8575308156,90.574775822,-30.0555028608
-0.0333,-0.0213,0.9151,0.4012,-0.2636,-0.0587,0.7241,0.6345,-0.2199,-0.0972,-0.866,-0.4383,31.9856990868,90.435269534,-30.0667516604
-0.0335,-0.0216,0.9147,0.4021,-0.2655,-0.0648,0.7211,0.6365,-0.2183,-0.1149,-0.8714,-0.4239,30.5591303648,90.974431362,-28.4977006114
-0.0338,-0.0219,0.9139,0.4038,-0.2662,-0.0695,0.7191,0.638,-0.2169,-0.1237,-0.8737,-0.4172,29.5385483862,91.2402561764,-27.3327670252
-0.0338,-0.023,0.9131,0.4055,-0.2664,-0.0802,0.7146,0.6417,-0.2144,-0.1456,-0.8775,-0.4034,29.268908652,91.099639629,-27.587442921
-0.0331,-0.0239,0.9116,0.4089,-0.2659,-0.0845,0.713,0.6431,-0.2125,-0.1564,-0.8801,-0.3945,28.2676841832,91.4259376176,-26.148561096
-0.0325,-0.024,0.9116,0.4089,-0.266,-0.0869,0.7127,0.6431,-0.2118,-0.1607,-0.8806,-0.3919,27.4736925302,91.628605147,-24.6794770768
-0.0322,-0.0237,0.9119,0.4083,-0.267,-0.0905,0.7131,0.6418,-0.2107,-0.1694,-0.882,-0.3856,27.36413409,91.4910173428,-25.0959932504
-0.0322,-0.0237,0.9119,0.4083,-0.267,-0.0905,0.7131,0.6418,-0.2107,-0.1694,-0.882,-0.3856,27.245088543,91.512987295,-24.882592704
-0.0309,-0.0241,0.9119,0.4083,-0.266,-0.0909,0.7136,0.6416,-0.2085,-0.1773,-0.8837,-0.3795,27.2468941206,91.5958467018,-25.0703301408
-0.0281,-0.0248,0.9101,0.4125,-0.2606,-0.0872,0.7118,0.6463,-0.208,-0.1813,-0.8815,-0.383,27.1019401476,91.5141332292,-25.0230737224
-0.0247,-0.0243,0.9096,0.4138,-0.2536,-0.08,0.7125,0.6492,-0.2102,-0.1793,-0.8801,-0.3859,27.3855898968,91.664750908,-24.2126463408
-0.0213,-0.0234,0.9102,0.4127,-0.2459,-0.0692,0.7146,0.6511,-0.212,-0.1758,-0.8797,-0.3873,28.397090208,91.5471369448,-23.747265
-0.0083,-0.0157,0.9124,0.4088,-0.2198,-0.0291,0.7282,0.6484,-0.2193,-0.1351,-0.876,-0.4077,28.5003607928,91.5065432944,-24.157012072
-0.0083,-0.0157,0.9124,0.4088,-0.2198,-0.0291,0.7282,0.6484,-0.2193,-0.1351,-0.876,-0.4077,32.3972708846,90.6863641438,-25.722713995
-0.0026,-0.0075,0.9128,0.4082,-0.2022,-0.0015,0.7385,0.6431,-0.2278,-0.0602,-0.8599,-0.4526,36.550180119,89.7625903144,-28.3835970872
0.0007,-0.002,0.916,0.4011,-0.1878,0.0177,0.7431,0.6419,-0.2354,0.0083,-0.8364,-0.4946,36.3707690882,90.1056843686,-28.1684827792
0.0023,-0.0004,0.9159,0.4012,-0.1853,0.0239,0.7459,0.6392,-0.2376,0.0232,-0.8288,-0.5059,40.6002509232,88.9120797776,-29.5708818192
0.0017,-0.0008,0.9165,0.3999,-0.1883,0.0261,0.7488,0.6348,-0.2367,0.041,-0.82,-0.5194,43.157606425,87.7748823908,-30.7094727734
0.0005,-0.0047,0.9182,0.3961,-0.1995,0.0252,0.7553,0.6236,-0.2357,0.0717,-0.8129,-0.5275,43.6002156988,87.8878476408,-30.6933734084
0.0005,-0.0047,0.9182,0.3961,-0.1995,0.0252,0.7553,0.6236,-0.2357,0.0717,-0.8129,-0.5275,45.0512467528,86.5973031568,-32.8121635544
0.0015,-0.0063,0.9198,0.3922,-0.2077,0.0259,0.7604,0.6146,-0.2356,0.0977,-0.8093,-0.5289,47.6920744052,85.22402443,-32.373493642
0.0018,-0.0037,0.9218,0.3875,-0.209,0.0344,0.7661,0.6068,-0.2386,0.1221,-0.8069,-0.5263,48.346653074,85.124339012,-32.1032788764
0.0018,-0.0037,0.9218,0.3875,-0.209,0.0344,0.7661,0.6068,-0.2386,0.1221,-0.8069,-0.5263,49.9857892892,83.8040792592,-32.454220638
0.0006,0.0015,0.9256,0.3782,-0.2099,0.0466,0.7733,0.5963,-0.2446,0.1439,-0.8001,-0.5283,51.8051119876,81.8734090888,-34.2271500744
-0.0016,0.0021,0.9297,0.3681,-0.2124,0.0526,0.7816,0.5841,-0.2417,0.1612,-0.7968,-0.5296,52.1571684304,82.1205800282,-33.3855516022
